record_id,title,year,search_source,screen_decision_codex,screen_decision_gemini,screen_confidence_codex,screen_confidence_gemini,exclude_code_codex,exclude_code_gemini,rationale_codex,rationale_gemini,screen_consensus,oauth_auth_method_codex,oauth_auth_method_gemini,human1_decision,human2_decision,adjudicated_final_decision,exclude_code,decision_rationale,adjudicator_id,screening_tier,codex_retry2_model,consensus_note,review_priority,review_type
REC_01691,Are AI Tools Effective in Reducing Cognitive Load or Boosting Writing Self-Efficacy for L2 Postgraduates?,2025,WoS; Scopus,include,include,0.9,1.0,,,"This is an empirical mixed-methods study with a clear quantitative component (questionnaire data) focused on AI tool use among postgraduate students in an educational writing context. It measures AI use and reports predictive relationships (e.g., AI use positively predicted self-efficacy), making effect-size extraction likely feasible.","The study is an empirical quantitative study investigating the impact of AI tools on L2 postgraduates in an educational context, measuring AI usage and reporting correlational findings. It falls within the specified publication window.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_07054,Exploring factors influencing educators' adoption of ChatGPT: a mixed method approach,2024,WoS; Scopus,include,include,0.96,1.0,,,This is an empirical mixed-method study with a clear quantitative component (PLS-SEM on 243 educator surveys) focused on ChatGPT adoption in higher education. It directly measures adoption intention/resistance and is very likely to report standardized path coefficients suitable for meta-analytic effect-size extraction.,"This empirical quantitative study uses SEM to examine factors influencing educators' intention to adopt ChatGPT within an educational context, published in 2024, and is likely to report effect sizes.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_07616,The Influence of Social Support Theory on AI Acceptance: Examining Educational Support and Perceived Usefulness Using SEM Analysis,2025,WoS; Scopus; IEEE,include,include,0.97,0.9,,,"This is an empirical quantitative survey study (n=308) in a higher-education setting using SEM, with AI acceptance/intention as focal outcomes. It reports standardized path coefficients (beta values), is in English, and falls within the 2015–2025 window (2025).","This empirical quantitative study uses SEM to examine AI acceptance in an educational setting, reporting beta coefficients. It clearly focuses on AI and adoption outcomes, and was published within the specified timeframe.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_12203,Using Artificial Intelligence Technology to Improve Business English Language Teaching Effectiveness,2024,Scopus,include,include,0.93,0.9,,,"This is a 2024 empirical quantitative university study centered on AI technology, using SEM and questionnaires to examine students’ behavioral intention to use AI in business English learning. The abstract indicates adoption-related predictors and experimental comparison outcomes, making standardized path/effect-size information likely available.","This is an empirical quantitative study using SEM to explore factors influencing students' behavioral intention to use AI in an educational setting, published in 2024.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_12458,Investigating EFL Learners’ Perceptions of Using AI to Enhance English Vocabulary Acquisition Based on The Technology Acceptance Model,2025,Scopus,include,include,0.9,1.0,,,This is a quantitative TAM-based study of undergraduate EFL students that directly examines AI tool perceptions and intention to adopt/use in an educational context. The reported significance testing and stated predictors of intention indicate likely availability of usable association/path statistics for meta-analysis.,"This is an empirical quantitative study using a questionnaire to assess EFL learners' perceptions and intentions to adopt AI tools for vocabulary acquisition in an educational setting, published in 2025. TAM-based studies are likely to report effect sizes suitable for meta-analysis.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_12844,Exploring the acceptance of ChatGPT in higher education: a comprehensive quantitative study of university students and faculty,2025,WoS; Scopus,include,include,0.96,0.9,,,This is an empirical quantitative survey study in higher education (students and faculty) focused on ChatGPT acceptance/intention using UTAUT2 constructs. The reported significant predictors of behavioral intention strongly suggest regression/SEM-style standardized path/beta outputs suitable for meta-analytic effect extraction.,"This is a quantitative study focused on ChatGPT acceptance in higher education, explicitly measuring adoption outcomes using a theoretical model that likely reports effect sizes. It is in English and within the target publication window.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_14868,"OBSTACLES TO THE USE OF AI APPLICATIONS IN BLACKBOARD FOR FACULTY MEMBERS AT NORTHERN BORDER UNIVERSITY, SAUDI ARABIA",2024,WoS,include,include,0.84,1.0,,,"This is a quantitative survey study of faculty in a university context focused on AI use in Blackboard, and it measures adoption/use barriers and related predictors. While the abstract does not explicitly report a correlation matrix or standardized beta/path coefficients, inferential association data appear likely from the reported significant influences.","Empirical quantitative survey on faculty members' AI tool adoption in an educational setting (Blackboard), published in 2024, and likely contains relevant effect sizes.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_14933,Exploring Academics Intentions to Incorporate ChatGPT into Their Teaching Practices,2024,WoS; Scopus,include,include,0.96,0.95,,,"The abstract describes an empirical quantitative survey of UK academics using TAM/UTAUT constructs to explain intentions/attitudes toward incorporating ChatGPT in teaching, which matches the educational AI adoption focus. Given the model-based quantitative analysis with reported positive predictor effects, standardized path/beta-type effect sizes are likely available.","The study is a quantitative empirical investigation into UK academics' intentions to use ChatGPT in teaching, aligning with all inclusion criteria. The use of TAM and UTAUT models suggests likely availability of relevant effect size data.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_07700,Determinants of Using AI-Based Chatbots for Knowledge Sharing: Evidence From PLS-SEM and Fuzzy Sets (fsQCA),2024,WoS; Scopus; IEEE,,include,0.0,0.95,,,"T2: single-AI tier, Gemini only","This empirical quantitative study uses PLS-SEM with a sample of 447 students to investigate the determinants of using AI-based chatbots for knowledge sharing in an educational context, published in 2024, making it highly relevant.",include,,oauth,,,,,,,T2_single_ai,,,HIGH,include_confirm
REC_10860,Exploring the impact of ChatGPT usability on attitudes and beliefs among Indian higher education students: a structural analysis,2025,WoS,,include,0.0,0.9,,,"T2: single-AI tier, Gemini only","This empirical quantitative study uses SEM to analyze ChatGPT's usability on attitudes and beliefs among 380 Indian higher education students in 2025, meeting all inclusion criteria including AI focus and adequate sample size.",include,,oauth,,,,,,,T2_single_ai,,,HIGH,include_confirm
