probe,pair,study_pair_rows
core7_add_att,ATT-BI,30
core7_add_att,ATT-EE,26
core7_add_att,ATT-FC,10
core7_add_att,ATT-PE,27
core7_add_att,ATT-SI,12
core7_add_att,ATT-UB,13
core7_add_att,BI-EE,54
core7_add_att,BI-FC,36
core7_add_att,BI-PE,57
core7_add_att,BI-SI,39
core7_add_att,BI-UB,31
core7_add_att,EE-FC,34
core7_add_att,EE-PE,58
core7_add_att,EE-SI,33
core7_add_att,EE-UB,30
core7_add_att,FC-PE,34
core7_add_att,FC-SI,28
core7_add_att,FC-UB,22
core7_add_att,PE-SI,35
core7_add_att,PE-UB,29
core7_add_att,SI-UB,22
