paper,task_id,workstream,owner,priority,status,next_gate,evidence_path,release_surface,notes
Paper A,A1,PRISMA/source-lock,R1 + R2/R3,High,Open,final full-text eligibility boxes confirmed,paper_a/PRISMA_COUNTS_LOCK_20260615.md,OneDrive/Git/OSF,duplicate DOI interpretation required
Paper A,A2,Screening/eligibility audit,R2 + R3,High,Open,IRR/unresolved queue written,paper_a/DISCUSSION_LOG_KR.md,OneDrive/Git,"use reviewer codes, do not overwrite source logs"
Paper A,A3,Model-family methods QA,Methods Critic + Measurement Auditor,High,Open,overclaim check passes,CURRENT.md,Git/manuscript,full10 is target/evidence map
Paper A,A4,Discussion/literature integration,Voice Keeper + Theory Writer,Medium,Open,Discussion revision pack ready,paper_a/manuscript/target_journal/apa7_model_family_full_manuscript_scaffold_20260615/PAPER_A_THEORY_DISCUSSION_WRITING_GUIDE_KR_20260616.docx,OneDrive/Git,preserve researcher voice
Paper A,A5,Word/APA submission package,Reviewer + Venue Strategist,High,Open,submission blocker checklist cleared,paper_a/manuscript/target_journal/apa7_model_family_full_manuscript_scaffold_20260615/PAPER_A_LONGTABLE_PANEL_SUBMISSION_DRAFT_20260616.docx,OneDrive/Git,manual pagination review required
Paper A,A6,OSF/OneDrive release sync,Ethics / Release Manager,Medium,Open,release register updated,paper_a/public_data_repository_20260615_osf_ready.zip,OneDrive/OSF,no private raw materials in public zip
Paper B,B1,Reference-standard protocol guard,R1 + R4,High,Open,workflow order verified,data/04_extraction/WORKFLOW_STATUS_LOG.md,Git/manuscript,source-anchored adjudicated human reference standard
Paper B,B2,Disagreement/adjudication trace,R2 + R3 + R4,Medium,Open,taxonomy table ready,data/04_extraction/02_pre_adjudication_disagreement/RATER_COMPARISON_PLAYBOOK.md,Git/manuscript,meaningful differences only
Paper B,B3,Step 5 evidence packaging,R4 + Methods Critic,High,Open,full-corpus packet ready,data/04_extraction/05_llm_masem_substitution/results/PAPER_B_STEP5_FULL_CORPUS_M1R_STATUS_AND_NEXT_WORK_20260612.md,Git/OSF,denominator-family and exception-aware scoring
Paper B,B4,SEM claim boundary,Methods Critic + Measurement Auditor,High,Open,SEM boundary table approved,data/04_extraction/05_llm_masem_substitution/results/r_tssem_substitution_20260611/PAPER2_TSSEM_SUBSTITUTION_DIAGNOSTIC_20260611.md,Git/manuscript,core-6 diagnostic only unless broader model approved
Paper B,B5,RQ3 triage narrative,Reviewer + Venue Strategist,Medium,Open,triage narrative ready,data/04_extraction/05_llm_masem_substitution/results/PAPER2_RQ3_TRIAGE_CROSS_MODEL_SENSITIVITY_20260611.md,Git/manuscript,no vendor ranking
Paper B,B6,OSF/data availability maintenance,Ethics / Release Manager,Medium,Open,public/private boundary checked,paper_b/public_data_repository_20260611/EXCLUDED_PRIVATE_MATERIALS.md,OneDrive/OSF,raw PDFs/workbooks excluded from public release
