coder,sheet,study_id,construct_1,construct_2,pair,r_value,original_beta,r_source,source_location,flag,notes,sample_size
R1,CORRELATIONS,S222,BI,EE,BI-EE,0.46,0.405,beta_converted,"Table 6, p.2028",,,50.0
R1,CORRELATIONS,S222,BI,PE,BI-PE,0.58,0.531,beta_converted,"Table 6, p.2028",,,50.0
R1,CORRELATIONS,S185,ANX,BI,ANX-BI,0.47,,direct,"Table 3, p.7",,DIS mapped to ANX,298.0
R1,CORRELATIONS,S059,ATT,BI,ATT-BI,0.9,0.854,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S059,ATT,EE,ATT-EE,0.26,0.212,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S059,ATT,PE,ATT-PE,0.29,0.24,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S059,EE,PE,EE-PE,0.18,0.129,beta_converted,"Table 4, p.9",,,645.0
R1,CORRELATIONS,S110,BI,EE,BI-EE,0.62,,direct,"Table 4, p.627",,r column in Table 4 (distinct from beta),353.0
R1,CORRELATIONS,S110,BI,PE,BI-PE,0.68,,direct,"Table 4, p.627",,r column in Table 4 (distinct from beta),353.0
R1,CORRELATIONS,S110,BI,SI,BI-SI,0.52,,direct,"Table 4, p.627",,r column in Table 4 (distinct from beta),353.0
R1,CORRELATIONS,S177,BI,EE,BI-EE,0.718,0.229,fornell_larcker_plssem,"Table 3 (Fornell-Larcker), p.8",,r from Fornell-Larcker. Path PEOU->ITU beta=0.229.,283.0
R1,CORRELATIONS,S177,BI,PE,BI-PE,0.712,0.338,fornell_larcker_plssem,"Table 3 (Fornell-Larcker), p.8",,r from Fornell-Larcker. Path PU->ITU beta=0.338.,283.0
R1,CORRELATIONS,S177,EE,PE,EE-PE,0.571,0.571,fornell_larcker_plssem,"Table 3 (Fornell-Larcker), p.8",,PLS-SEM composite correlations. Also path PEOU->PU beta=0.571.,283.0
R1,CORRELATIONS,S169,ATT,BI,ATT-BI,0.792,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,ATT,EE,ATT-EE,0.628,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,ATT,FC,ATT-FC,0.464,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,ATT,PE,ATT-PE,0.808,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,BI,EE,BI-EE,0.533,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,BI,FC,BI-FC,0.292,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,BI,PE,BI-PE,0.703,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,EE,FC,EE-FC,0.27,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,EE,PE,EE-PE,0.609,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S169,FC,PE,FC-PE,0.369,,fornell_larcker_plssem,"Table 4 (Fornell-Larcker), p.12",,,250.0
R1,CORRELATIONS,S015,BI,EE,BI-EE,0.686,,fornell_larcker_cbsem,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.,528.0
R1,CORRELATIONS,S015,BI,FC,BI-FC,0.579,,fornell_larcker_cbsem,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.,528.0
R1,CORRELATIONS,S015,BI,PE,BI-PE,0.816,,fornell_larcker_cbsem,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.,528.0
R1,CORRELATIONS,S015,BI,SI,BI-SI,0.59,,fornell_larcker_cbsem,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.,528.0
R1,CORRELATIONS,S015,BI,UB,BI-UB,0.79,,fornell_larcker_cbsem,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.,528.0
R1,CORRELATIONS,S015,EE,FC,EE-FC,0.76,,fornell_larcker_cbsem,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.,528.0
