study_id,pair,construct_1,construct_2,r_numeric,sample_size_numeric,source_file,source_location,source_packet_exists,pdf_exists,pdf_path,value_found_in_source_packet_text,value_found_in_pdf_text,flag,notes
S004,BI-EE,BI,EE,0.582,485.0,latest_human_R3_(합의) CORRELATIONS,Table 4,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,BI-PE,BI,PE,0.667,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,BI-SI,BI,SI,0.668,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,BI-TRU,BI,TRU,0.63,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,BI-UB,BI,UB,0.751,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,EE-PE,EE,PE,0.697,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,EE-SI,EE,SI,0.61,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,EE-TRU,EE,TRU,0.52,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,EE-UB,EE,UB,0.607,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
S004,PE-SI,PE,SI,0.637,485.0,latest_human_R3_(합의) CORRELATIONS,,True,True,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,True,True,,
