study_id,missing_pair,construct_1,construct_2,ai_trace_status,candidate_status,candidate_value,confidence_tier,provisional_decision,human_coding_reason,why_not_in_human_matrix_language,source_trace_terms_c1,source_trace_terms_c2,source_trace_table_terms,paper_b_boundary
S057,ANX-TRU,ANX,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,ANX;anxiety;apprehension;fear,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,ANX-UB,ANX,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,ANX;anxiety;apprehension;fear,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,ATT-TRU,ATT,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,ATT;attitude;attitude toward;attitudes,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,ATT-UB,ATT,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,ATT;attitude;attitude toward;attitudes,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,BI-TRU,BI,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,BI;behavioral intention;intention to use;usage intention,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,BI-UB,BI,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,BI;behavioral intention;intention to use;usage intention,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,EE-TRU,EE,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,EE;PEOU;ease of use;easy to use;effort expectancy;perceived ease of use,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,EE-UB,EE,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,EE;PEOU;ease of use;easy to use;effort expectancy;perceived ease of use,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,FC-TRU,FC,TRU,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,FC;facilitating;facilitating conditions;resources;support,trust,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
S057,FC-UB,FC,UB,possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,,MEDIUM_REVIEW_PRIORITY,review_before_add_no_numeric_value_yet,최신 human-coded matrix에는 이 missing pair가 없고 AI trace는 source-review 후보로 올렸다. 그러나 candidate_value가 비어 있으므로 numeric cell은 아직 추출/확정되지 않았다. PDF/source 표에서 두 construct가 실제 target construct로 같은 correlation matrix 안에 있는지 확인해야 한다.,아직 “인간이 놓친 값”으로 단정하지 않는다. source table의 실제 construct label과 numeric cell을 사람이 확인해야 한다.,FC;facilitating;facilitating conditions;resources;support,use,correlation;correlations;latent;table,candidate_only_not_analytic_input_until_human_confirmed
