source,family,target,predictor,model_id,parameter,estimate,ci_low,ci_high,inference_class,interpretive_note
primary_path,Core7 ATT mediation,ATT,PE,paper_a_core7_att_mediation,PE_to_ATT,0.1569,-0.170272,0.653869,not_supported_95ci_includes_zero,Performance/usefulness role: instrumental value and expected outcome improvement.
primary_path,Core7 ATT mediation,ATT,EE,paper_a_core7_att_mediation,EE_to_ATT,0.12666,NA,NA,ci_incomplete,Effort/ease role: usability burden and cognitive/operational effort.
primary_path,Core7 ATT mediation,BI,PE,paper_a_core7_att_mediation,PE_to_BI,0.186951,NA,0.582053,ci_incomplete,Performance/usefulness role: instrumental value and expected outcome improvement.
primary_path,Core7 ATT mediation,BI,EE,paper_a_core7_att_mediation,EE_to_BI,0.121776,NA,0.346694,ci_incomplete,Effort/ease role: usability burden and cognitive/operational effort.
primary_path,Trust6 trust mechanism,TRU,PE,paper_a_trust6_mechanism,PE_to_TRU,0.260646,NA,0.437589,ci_incomplete,Performance/usefulness role: instrumental value and expected outcome improvement.
primary_path,Trust6 trust mechanism,TRU,EE,paper_a_trust6_mechanism,EE_to_TRU,0.14009,-0.023558,0.284616,not_supported_95ci_includes_zero,Effort/ease role: usability burden and cognitive/operational effort.
primary_path,Trust6 trust mechanism,BI,PE,paper_a_trust6_mechanism,PE_to_BI,0.365409,NA,0.511665,ci_incomplete,Performance/usefulness role: instrumental value and expected outcome improvement.
primary_path,Trust6 trust mechanism,BI,EE,paper_a_trust6_mechanism,EE_to_BI,0.224823,0.044948,0.375494,supported_positive_95ci,Effort/ease role: usability burden and cognitive/operational effort.
model_comparison,core7_attitude,model_fit,PE_and_EE_retained,core7_full,k=4; CFI=0.999; RMSEA=0.009; AIC=-3.854,NA,NA,NA,converged,Reduced model comparison for relative necessity; interpret cautiously because construct removal can change complete-case k and df.
model_comparison,core7_attitude,model_fit,EE_retained_PE_removed,core6_no_PE_EE_SI_FC_ATT_BI_UB,k=4; CFI=1.000; RMSEA=0.005; AIC=-3.728,NA,NA,NA,converged,Reduced model comparison for relative necessity; interpret cautiously because construct removal can change complete-case k and df.
model_comparison,core7_attitude,model_fit,PE_retained_EE_removed,core6_no_EE_PE_SI_FC_ATT_BI_UB,k=4; CFI=0.998; RMSEA=0.013; AIC=-1.754,NA,NA,NA,status_6,Reduced model comparison for relative necessity; interpret cautiously because construct removal can change complete-case k and df.
model_comparison,trust6_mechanism,model_fit,PE_and_EE_retained,trust6_full,k=7; CFI=0.996; RMSEA=0.011; AIC=0.957,NA,NA,NA,converged,Reduced model comparison for relative necessity; interpret cautiously because construct removal can change complete-case k and df.
model_comparison,trust6_mechanism,model_fit,EE_retained_PE_removed,trust5_no_PE_EE_SI_TRU_BI_UB,k=7; CFI=0.994; RMSEA=0.012; AIC=1.557,NA,NA,NA,converged,Reduced model comparison for relative necessity; interpret cautiously because construct removal can change complete-case k and df.
model_comparison,trust6_mechanism,model_fit,PE_retained_EE_removed,trust5_no_EE_PE_SI_TRU_BI_UB,k=7; CFI=0.995; RMSEA=0.012; AIC=1.670,NA,NA,NA,converged,Reduced model comparison for relative necessity; interpret cautiously because construct removal can change complete-case k and df.
