item,from,to,kind
-CPS-Civic-Engagement-Volunteering-Supplement,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/-CPS-Civic-Engagement-Volunteering-Supplement,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/-CPS-Civic-Engagement-Volunteering-Supplement,directory
.cursor-tutor,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/.cursor-tutor,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/.cursor-tutor,directory
.DS_Store,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/.DS_Store,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/.DS_Store,file
.longtable,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/.longtable,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/.longtable,directory
.omx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/.omx,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/.omx,directory
AGENTS.md,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/AGENTS.md,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/AGENTS.md,file
AI_Polarization_Pew,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/AI_Polarization_Pew,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/AI_Polarization_Pew,directory
Artificial-Intelligence-Ethics-in-Human-Resource,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/Artificial-Intelligence-Ethics-in-Human-Resource,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/Artificial-Intelligence-Ethics-in-Human-Resource,directory
Auto-Meta-Analysis,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/Auto-Meta-Analysis,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/Auto-Meta-Analysis,directory
Automated-Meta-Analysis-System,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/Automated-Meta-Analysis-System,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/Automated-Meta-Analysis-System,directory
claurst,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/claurst,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/claurst,directory
CPS-Education-Supplement,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/CPS-Education-Supplement,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/CPS-Education-Supplement,directory
CURRENT.md,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/CURRENT.md,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/CURRENT.md,file
Dissertation-meta,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/Dissertation-meta,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/Dissertation-meta,directory
dissertation_AI-adoption_meta,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/dissertation_AI-adoption_meta,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/dissertation_AI-adoption_meta,directory
diverga-docs,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/diverga-docs,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/diverga-docs,directory
diverga-evaluation-paper,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/diverga-evaluation-paper,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/diverga-evaluation-paper,directory
Effects-of-Agentic-AI-on-Learning-Outcomes-Across-Educational-Contexts,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/Effects-of-Agentic-AI-on-Learning-Outcomes-Across-Educational-Contexts,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/Effects-of-Agentic-AI-on-Learning-Outcomes-Across-Educational-Contexts,directory
GenAI-Creativity,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/GenAI-Creativity,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/GenAI-Creativity,directory
Generative-AI-in-Higher-Education,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/Generative-AI-in-Higher-Education,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/Generative-AI-in-Higher-Education,directory
govfundingchatbot,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/govfundingchatbot,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/govfundingchatbot,directory
hope-action-batch-4,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/hope-action-batch-4,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/hope-action-batch-4,directory
hosung-bot,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/hosung-bot,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/hosung-bot,directory
hosungyou.github.io,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/hosungyou.github.io,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/hosungyou.github.io,directory
humanizer,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/humanizer,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/humanizer,directory
korean-church-website,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/korean-church-website,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/korean-church-website,directory
LongTable,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/LongTable,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/LongTable,directory
LongTable-archive,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/LongTable-archive,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/LongTable-archive,directory
README_PROJECT_INDEX_AI_ADOPTION_20260614.md,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/README_PROJECT_INDEX_AI_ADOPTION_20260614.md,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/README_PROJECT_INDEX_AI_ADOPTION_20260614.md,file
research-os,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/research-os,/Users/newhosung/Academic/Repositories_Archive/AI_Adoption_Meta_Analysis_Git_pool_20260614/research-os,directory
