study_id,phase_block,pair,title,freeze_terminal_status,n_frozen_rows,caveat_status,step5_handling,reason,source_status_file
S014,phase2,Pair C,The role of perceived utility and ethical concerns in the adoption of AI-based d,excluded_or_no_target_frozen_status,0,no_usable_target_rows_caveat,corpus_accounting_only_no_target_task_rows,notes=Population remains eligible but this source check contributes no direct mapped target-pair value. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S023,phase1,Pair A,Students’ acceptance and use of generative AI in pharmacy education: internation,excluded_or_no_target_frozen_status,0,excluded_or_no_target_status_caveat,corpus_accounting_only_no_target_task_rows,"study_terminal_status=excluded_from_masem_correlation_contribution_status_draft; final_freeze_handling=Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.; notes=Lightweight PDF check found EFA/construct-correlation language, but no coder target rows and no source-anchored UTAUT construct-pair matrix was carried into coding; treat as no usable target correlation rows pending final freeze QA.; exclusion_code=E-FT1; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.",data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S039,phase2,Pair D,Patients' Acceptance and Intentions on Using Artificial Intelligence in Dental D,excluded_or_no_target_frozen_status,0,none,corpus_accounting_only_no_target_task_rows,notes=metadata differences; exclusion/source-check; exclusion_code=E-FT3. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S041,phase1,Pair A,Responsibility and AI: Exploring technology acceptance models,excluded_or_no_target_frozen_status,0,none,corpus_accounting_only_no_target_task_rows,draft_status=excluded_study_status_draft; decision_summary=Exclude: general AI technology acceptance/use-frequency study; not educational AI adoption.; notes=Logged exclusion only; no target rows.; exclusion_code=E-FT3. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S101,phase2,Pair D,Determining Factors Influencing Indonesian Higher Education Students' Intention,excluded_or_no_target_frozen_status,0,none,corpus_accounting_only_no_target_task_rows,notes=metadata differences; exclusion/source-check; exclusion_code=E-FT1. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S105,phase1,Pair B,The Use of ChatGPT in Academic Writing by University Students in Jordan,excluded_or_no_target_frozen_status,0,excluded_or_no_target_status_caveat,corpus_accounting_only_no_target_task_rows,study_terminal_status=excluded_from_masem_correlation_contribution_status_draft; final_freeze_handling=Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.; notes=Lightweight PDF check found descriptive/mixed-method survey tables rather than coded target construct-pair correlations; no coder correlation rows were present.; exclusion_code=E-FT1; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S108,phase2,Pair C,The impact of artificial intelligence on maker education: Motivation and technol,excluded_or_no_target_frozen_status,0,none,corpus_accounting_only_no_target_task_rows,notes=metadata differences; one-coder-only correlation values; exclusion/source-check; exclusion_code=E-FT1. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S109,phase1,Pair B,Acceptance of AI-Powered Chatbots Among Physiotherapy Students: International Cr,excluded_or_no_target_frozen_status,0,excluded_or_no_target_status_caveat,corpus_accounting_only_no_target_task_rows,"study_terminal_status=excluded_from_masem_correlation_contribution_status_draft; final_freeze_handling=Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.; notes=Coder notes and lightweight PDF check indicate total TAM-score associations/regression with external factors only, not an inter-construct target matrix.; exclusion_code=E-FT1; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.",data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S118,phase2,Pair D,Faculty acceptance and use of generative artificial intelligence in their practi,excluded_or_no_target_frozen_status,0,none,corpus_accounting_only_no_target_task_rows,notes=metadata differences; exclusion/source-check; exclusion_code=E-FT1. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
S132,phase2,Pair C,ChatGPT or Human Mentors? Student Perceptions of Technology Acceptance and Use a,excluded_or_no_target_frozen_status,0,none,corpus_accounting_only_no_target_task_rows,notes=metadata differences; exclusion/source-check; exclusion_code=E-FT1. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_study_status_frozen_20260609.csv
