task_unit_id,study_id,construct_pair,evidence_family_current,denominator_family_current,reference_r_source,reference_evidence_type,caveat_ids,path_compatible_for_model_prompt,route_review_flag,recommended_step5_model_input_route,human_reference_value_changed
FC-S5-TASK-00068,S007,ATT-BI,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00069,S007,ATT-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00070,S007,ATT-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00071,S007,ATT-SE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00072,S007,BI-FC,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00073,S007,BI-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00074,S007,BI-SE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00075,S007,FC-PE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00076,S007,FC-SE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
FC-S5-TASK-00077,S007,PE-SE,beta_or_path_converted_effect_size,secondary_beta_or_path_converted_effect_size,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,CAV005,false,non_path_reference_evidence_in_beta_family,route_as_latent_or_construct_correlation_in_revised_step5_model_input,false
