study_id,construct_pair,numeric_value,source_type,classification,collections,source_files
S036,ANX-TRU,-0.26,,candidate_review_required,current_repo;onedrive_documents;ssd:jornal_AI-adoption_meta,combined_coder_values_long_20260525.csv
S036,ANX-TRU,-0.26,coder_agreed_direct_correlation,direct_r_like_candidate,current_repo,full_corpus_step5_task_unit_shell_20260609.csv
S066,ANX-TRU,0.19,beta_converted_peterson_brown,beta_path_or_source_statistic_converted_candidate,current_repo,full_corpus_step5_task_unit_shell_20260609.csv
S066,ANX-TRU,0.14,,candidate_review_required,current_repo;onedrive_documents;ssd:jornal_AI-adoption_meta,combined_coder_values_long_20260525.csv
S066,ANX-TRU,0.19,,candidate_review_required,current_repo;onedrive_documents;ssd:jornal_AI-adoption_meta,combined_coder_values_long_20260525.csv
S102,ANX-TRU,0.027,,candidate_review_required,current_repo;onedrive_documents;ssd:jornal_AI-adoption_meta,combined_coder_values_long_20260525.csv
S102,ANX-TRU,0.027,source_reported_latent_correlation,latent_source_flagged_candidate,current_repo,full_corpus_step5_task_unit_shell_20260609.csv
S142,ANX-TRU,0.027,secondary_source_statistic_converted_by_human_consensus,beta_path_or_source_statistic_converted_candidate,onedrive_documents,paper1_direct_r_all_sets_long_20260605.csv;paper1_direct_r_expanded_analysis_ready_20260605.csv;paper1_direct_r_sensitivity_converted_analysis_ready_20260605.csv;paper1_numeric_qc_20260605.csv
S142,ANX-TRU,0.027,secondary_source_statistic,beta_path_or_source_statistic_converted_candidate,onedrive_documents,paper2_llm_task_units_labeled_tiered_freeze_20260605.csv
S142,ANX-TRU,0.027,secondary_source_statistic,candidate_review_required,onedrive_documents,Paper2_Unified_Human_Final_Consensus_Decisions_20260605_v2.csv;paper2_llm_task_units_labeled_pre_freeze_20260605.csv;paper2_llm_task_units_pre_freeze_20260605.csv
