bridge_component,source_artifact,role,row_n,usable_for_primary_masem,substitution_status,notes
paper1_pre_tier_primary_analysis_ready,Paper1_MASEM_Working_20260605/07_analysis_ready/paper1_direct_r_primary_analysis_ready_20260605.csv,audit_pre_tier_primary,822,no,human_reference_or_sensitivity_input,"Pre-tiered primary direct-r file; retained for audit, not final model-ready baseline."
paper1_primary_model_ready_tiered_freeze,Paper1_MASEM_Working_20260605/09_model_ready_tiered_freeze/paper1_direct_r_primary_model_ready_tiered_freeze_20260605.csv,human_reference_baseline,804,yes,human_reference_or_sensitivity_input,Primary human-reference MASEM baseline after tiered exclusions; use before any LLM substitution.
paper1_expanded_analysis_ready,Paper1_MASEM_Working_20260605/07_analysis_ready/paper1_direct_r_expanded_analysis_ready_20260605.csv,human_expanded_sensitivity,1303,sensitivity_only,human_reference_or_sensitivity_input,Expanded human-consensus direct-r-form file; not the primary baseline.
paper1_sensitivity_converted_analysis_ready,Paper1_MASEM_Working_20260605/07_analysis_ready/paper1_direct_r_sensitivity_converted_analysis_ready_20260605.csv,converted_source_type_sensitivity,481,sensitivity_only,human_reference_or_sensitivity_input,Converted beta/path/source-statistic input; source-type sensitivity only.
paper1_all_sets_long,Paper1_MASEM_Working_20260605/07_analysis_ready/paper1_direct_r_all_sets_long_20260605.csv,stacked_audit,2606,no,human_reference_or_sensitivity_input,"Long stacked audit file containing primary, expanded, and converted sensitivity rows."
paper2_codex_converted_or_model_derived_effect_size_converted_or_model_derived_beta,data/04_extraction/05_llm_masem_substitution/results/paper2_rq1_extraction_validity_20260611.csv,primary_llm_numeric_substitution_candidate,30,no,not_sufficient_for_autonomous_substitution,Codex scored_n=30; correct_n=0; abstention_n=30; accuracy=0.000000.
paper2_codex_converted_or_model_derived_effect_size_converted_or_model_derived_beta_path_converted_by_human_consensus,data/04_extraction/05_llm_masem_substitution/results/paper2_rq1_extraction_validity_20260611.csv,primary_llm_numeric_substitution_candidate,53,no,not_sufficient_for_autonomous_substitution,Codex scored_n=53; correct_n=0; abstention_n=53; accuracy=0.000000.
paper2_codex_converted_or_model_derived_effect_size_converted_or_model_derived_numeric_source_statistic_converted_by_human_consensus,data/04_extraction/05_llm_masem_substitution/results/paper2_rq1_extraction_validity_20260611.csv,primary_llm_numeric_substitution_candidate,5,no,not_sufficient_for_autonomous_substitution,Codex scored_n=5; correct_n=0; abstention_n=5; accuracy=0.000000.
paper2_codex_direct_r_effect_size_extraction_source_blank_direct_r,data/04_extraction/05_llm_masem_substitution/results/paper2_rq1_extraction_validity_20260611.csv,primary_llm_numeric_substitution_candidate,43,no,not_sufficient_for_autonomous_substitution,Codex scored_n=43; correct_n=0; abstention_n=43; accuracy=0.000000.
paper2_codex_direct_r_effect_size_extraction_source_reported_direct_r,data/04_extraction/05_llm_masem_substitution/results/paper2_rq1_extraction_validity_20260611.csv,primary_llm_numeric_substitution_candidate,323,candidate_after_expert_review,limited_exact_numeric_candidates_only,Codex scored_n=323; correct_n=3; abstention_n=320; accuracy=0.009288.
paper2_triage_P0_expert_review_numeric_or_masem,data/04_extraction/05_llm_masem_substitution/results/paper2_rq3_triage_task_units_20260611.csv,review_queue_for_llm_assisted_input,1196,requires_expert_review,review_queue,Task-unit review priority from RQ3 triage.
paper2_triage_P1_review_signal,data/04_extraction/05_llm_masem_substitution/results/paper2_rq3_triage_task_units_20260611.csv,review_queue_for_llm_assisted_input,483,requires_expert_review,review_queue,Task-unit review priority from RQ3 triage.
paper2_triage_P1_source_or_human_disagreement_review,data/04_extraction/05_llm_masem_substitution/results/paper2_rq3_triage_task_units_20260611.csv,review_queue_for_llm_assisted_input,649,requires_expert_review,review_queue,Task-unit review priority from RQ3 triage.
paper2_triage_P2_blank_behavior_audit,data/04_extraction/05_llm_masem_substitution/results/paper2_rq3_triage_task_units_20260611.csv,review_queue_for_llm_assisted_input,6412,requires_expert_review,review_queue,Task-unit review priority from RQ3 triage.
paper2_triage_P2_scoring_completeness_check,data/04_extraction/05_llm_masem_substitution/results/paper2_rq3_triage_task_units_20260611.csv,review_queue_for_llm_assisted_input,1,requires_expert_review,review_queue,Task-unit review priority from RQ3 triage.
paper2_triage_P3_low_priority_after_primary_check,data/04_extraction/05_llm_masem_substitution/results/paper2_rq3_triage_task_units_20260611.csv,review_queue_for_llm_assisted_input,42,requires_expert_review,review_queue,Task-unit review priority from RQ3 triage.
paper2_trace_influence_s072,Paper2_LLM_Extraction_Working_20260605/09_reference_freeze/paper2_llm_task_units_labeled_tiered_freeze_20260605.csv,trace_influence_diagnostic,1,no,primary_exclusion_trace_only,S072 ANX-EE r=1.0 remains excluded from primary and retained only as trace/influence diagnostic.
