metric,label,row_n
total_rows,all,804
rows_with_sample_size_numeric,after_reconciliation,741
rows_missing_sample_size_numeric,after_reconciliation,63
sample_size_reconciliation_status,filled_from_full_corpus_reference_pair,626
sample_size_reconciliation_status,filled_from_full_corpus_reference_study_unique,24
sample_size_reconciliation_status,filled_from_s121_stratum_reference,42
sample_size_reconciliation_status,missing_n_excluded_from_n_weighted_masem,63
sample_size_reconciliation_status,retained_existing_input_n,49
missing_n_excluded_study,S028,10
missing_n_excluded_study,S100,2
missing_n_excluded_study,S145,6
missing_n_excluded_study,S185,14
missing_n_excluded_study,S194,15
missing_n_excluded_study,S208,10
missing_n_excluded_study,S218,6
