comparison_scope,review_priority,denominator_family,source_condition,task_n,cross_model_behavior_disagreement_n,primary_incorrect_n,primary_abstention_n,primary_missing_model_row_n,all_available_models_abstained_n
reference_only_no_locked_model_row,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,source_pointer_only_converted_or_source_statistic_beta_path_converted_by_human_consensus,22,0,0,0,22,0
reference_only_no_locked_model_row,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,source_pointer_only_converted_or_source_statistic_secondary_source_statistic_converted_by_human_consensus,348,0,0,0,348,0
reference_only_no_locked_model_row,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_pointer_only_direct_r,375,0,0,0,375,0
reference_only_no_locked_model_row,P1_source_or_human_disagreement_review,excluded_duplicate_source,excluded_duplicate_source,75,0,0,0,75,0
reference_only_no_locked_model_row,P1_source_or_human_disagreement_review,not_derivable_trace,not_derivable_trace,103,0,0,0,103,0
reference_only_no_locked_model_row,P1_source_or_human_disagreement_review,trace_influence_diagnostic,trace_influence_diagnostic,1,0,0,0,1,0
three_model_overlap,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,30,0,30,30,0,30
three_model_overlap,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta_path_converted_by_human_consensus,53,0,53,53,0,53
three_model_overlap,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_numeric_source_statistic_converted_by_human_consensus,5,0,5,5,0,5
three_model_overlap,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_blank_direct_r,43,0,43,43,0,43
three_model_overlap,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,source_reported_direct_r,320,0,320,320,0,320
three_model_overlap,P1_review_signal,construct_or_sample_mapping_decision,source_evidence_and_locator_present,2,2,2,2,0,0
three_model_overlap,P1_review_signal,eligibility_or_exclusion_decision,source_evidence_and_locator_present,5,0,5,0,0,0
three_model_overlap,P1_review_signal,metadata_extraction,source_evidence_and_locator_present,428,54,415,381,0,366
three_model_overlap,P1_review_signal,statistic_type_policy_decision,source_evidence_and_locator_present,7,5,7,4,0,2
three_model_overlap,P1_review_signal,structured_human_review_decision,source_evidence_and_locator_present,41,28,41,34,0,13
three_model_overlap,P1_source_or_human_disagreement_review,human_disagreement_trace,human_disagreement_trace,467,396,467,20,0,0
three_model_overlap,P1_source_or_human_disagreement_review,source_absence_decision,source_absence_decision,3,3,3,0,0,0
three_model_overlap,P2_blank_behavior_audit,absence_or_blank_consensus,blank_or_absence_consensus,6412,6104,2083,87,0,0
three_model_overlap,P2_scoring_completeness_check,metadata_extraction,source_evidence_and_locator_present,1,0,0,0,0,0
three_model_overlap,P3_low_priority_after_primary_check,direct_r_effect_size_extraction,source_reported_direct_r,3,0,0,0,0,0
three_model_overlap,P3_low_priority_after_primary_check,metadata_extraction,source_evidence_and_locator_present,39,0,0,0,0,0
