task_unit_id,study_id,construct_pair,source_direction,frozen_value,frozen_source_label,source_reference_evidence_class,post_freeze_qa_class,exception_layer_policy,generic_full_accuracy_gate_status,contract_aware_beta_path_gate_status,model_output_field_for_contract_aware_scoring,reference_field_for_contract_aware_scoring,review_required_before_accuracy_gate,larger_m1_r_eligible_before_layer_consumed,frozen_reference_change_made,step5_scorer_instruction,source_reference_qa_artifact,policy_note
FC-S5-TASK-00093,S009,ATT-BI,ATT/HM->BI,0.263,beta_converted_peterson_brown,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00094,S009,BI-EE,EE->BI,-0.020,beta_converted_peterson_brown,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00095,S009,BI-FC,FC->BI,0.085,beta_converted_peterson_brown,source_raw_beta_confirmed_with_minor_source_prose_conflict,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00096,S009,BI-PE,PE->BI,0.079,beta_converted_peterson_brown,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00097,S009,BI-SI,SI->BI,0.081,beta_converted_peterson_brown,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00098,S009,BI-UB,BI->UB,0.61,beta_converted_peterson_brown,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00099,S009,EE-UB,EE->UB,0.198,beta_converted_peterson_brown,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00100,S009,FC-UB,FC->UB,-0.034,beta_converted_peterson_brown,source_raw_beta_confirmed_but_frozen_value_mismatch,post_freeze_source_value_mismatch_review_required,manual_source_reference_adjudication_required_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,exclude_from_contract_aware_beta_path_gate,none,none,true,false,false,Do not score this row. Require manual source/reference adjudication or an explicit exclusion decision before any accuracy-gate use.,data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Recovered source-directed raw beta does not match frozen value or simple converted-effect expectation.
FC-S5-TASK-00101,S009,SI-UB,SI->UB,0.307,beta_converted_peterson_brown,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,reference_contract_caveat_no_in_place_freeze_change,exclude_from_generic_full_accuracy_denominator,hold_raw_beta_diagnostic_only_until_reference_contract_authorized,raw_beta_value_diagnostic_only,frozen_value_as_raw_beta_contract_caveat_not_final_converted_effect,false,false,false,"Do not score this row in the generic full-accuracy denominator. If the exception layer is consumed, report separately as a S009 reference-contract caveat/raw-beta retrieval diagnostic until a researcher-authorized reference-contract correction is added.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,Frozen value behaves like raw beta despite beta_converted_peterson_brown label; preserve frozen file and keep out of converted-effect accuracy gate.
FC-S5-TASK-00102,S010,BI-EE,EE->BI,0.086,beta_converted_peterson_brown,no_explicit_structural_path_in_packet_ipma_only_candidate,source_packet_or_reference_row_review_required,exclude_until_explicit_structural_path_evidence_or_reference_correction,exclude_from_generic_full_accuracy_denominator,exclude_from_contract_aware_beta_path_gate,none,none,true,false,false,"Do not score this row unless explicit structural path evidence is added to the source packet or a post-freeze reference correction/exception decision is authorized. Do not substitute IPMA, importance, total, indirect, HTMT, or discriminant-validity values.",data/04_extraction/05_llm_masem_substitution/results/full_corpus_m1_r_beta_path_source_reference_qa_20260611.csv,No explicit structural path coefficient was available under the current evidence rule; matching IPMA/importance-style candidates remain excluded.
