run_id,model_provider,model_id,task_unit_id,study_id,denominator_family,scoring_eligibility,score_status,is_correct,score_rule,expected_value,model_value,absolute_error
paper2_claude_smoke_direct_r_20260606,anthropic,claude_code,P2-TASK-00142,S148,direct_r_effect_size_extraction,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.69,ATT-BI correlation from Table 59 row 2,
paper2_gemini_smoke_direct_r_20260606,google,gemini_cli,P2-TASK-00142,S148,direct_r_effect_size_extraction,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.69,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00216,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00217,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00218,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00219,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00220,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00221,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00222,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00223,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00224,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00225,S222,absence_or_blank_consensus,eligible_after_locked_llm_output,not_scored_no_locked_answer,,locked_answer_required,implicit_blank_or_no_value_consensus_v2,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00176,,construct_or_sample_mapping_decision,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,student가 맞음.,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00191,,construct_or_sample_mapping_decision,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,R4 가 맞음 - 729 students across five public and four private universities,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00001,S080,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.436,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00002,S080,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,-0.058,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00003,S080,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.207,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00004,S080,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.066,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00014,S216,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.085,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00015,S216,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.203,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00016,S216,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.203,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00017,S216,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.159,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00018,S216,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.229,,
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,P2-TASK-00019,S216,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.231,,
