study_id,missing_pair,candidate_value,raw_human_exact_pair_count,raw_human_coders_exact_pair,latest_human_exact_pair_count,latest_human_sources_exact_pair,frozen_reference_exact_pair_count,frozen_reference_status_exact_pair,human_exclusion_found_for_study,human_exclusion_code_or_reason,one_coder_rule_evidence_for_study,frozen_reference_statuses_for_study,human_process_status,recommendation,rationale
S057,ANX-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,ANX-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,ATT-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,ATT-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,BI-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,BI-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,EE-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,EE-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,FC-TRU,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
S057,FC-UB,,0,,0,,0,,no,,"review_queue: coder_a=R3, coder_b=R4, n_one_coder_only=28, note=metadata differences; one-coder-only correlation values",included_frozen_reference_residual_batch1_source_checked_one_coder,not_human_handled_no_explicit_human_exclusion,source_review_required_before_any_add_proposal,"No exact human-coded pair found and no explicit human exclusion row found. Candidate_value is blank, so this can become an add proposal only after PDF/source table confirmation of both target constructs and a numeric cell."
