category,model_family,citation,doi_or_url,use_in_paper,status,note
method,MASEM general,"Cheung, M. W.-L., & Chan, W. (2005). Meta-analytic structural equation modeling: A two-stage approach.","https://doi.org/10.1037/1082-989X.10.1.40","Foundational citation for two-stage MASEM.",core,"Use for Methods paragraph defining TSSEM/MASEM."
method,MASEM general,"Cheung, M. W.-L. (2014). Fixed- and random-effects meta-analytic structural equation modeling: Examples and analyses in R.","https://doi.org/10.3758/s13428-013-0361-y","Cite for fixed/random-effects TSSEM implementation logic.",core,"Supports random-effects TSSEM language."
method,MASEM software,"Cheung, M. W.-L. (2015). metaSEM: An R package for meta-analysis using structural equation modeling.","https://doi.org/10.3389/fpsyg.2014.01521","Cite for metaSEM implementation and reproducibility.",core,"Useful when naming R/metaSEM."
method,MASEM book,"Cheung, M. W.-L. (2015). Meta-analysis: A structural equation modeling approach.","https://www.wiley.com/en-us/Meta+Analysis%3A+A+Structural+Equation+Modeling+Approach-p-9781119993438","Methodological reference for SEM approach to meta-analysis.",core,"Book citation; DOI not required."
method,MASEM missingness,"Jak, S., & Cheung, M. W.-L. (2018). Accounting for missing correlation coefficients in fixed-effects MASEM.","https://doi.org/10.1080/00273171.2017.1375886","Key citation for missing coefficients and sparse matrices.",core,"Use to justify caution with partial-matrix MASEM."
method,MASEM one-stage,"Jak, S., & Cheung, M. W.-L. (2020). Meta-analytic structural equation modeling with moderating effects on SEM parameters.","https://doi.org/10.1037/met0000245","Cite if OSMASEM is added as sensitivity or moderator-capable method.",supplementary,"Use as sensitivity, not as automatic solution."
method,MASEM tutorial,"Jak, S., Jorgensen, T. D., Verdam, M. G. E., Oort, F. J., & Elffers, L. (2021). Analytical power calculations for MASEM / webMASEM tutorial materials.","https://webmasem.research.vu.nl/","Practical reference for one-stage model fitting and teaching support.",supplementary,"Verify exact article metadata before final bibliography."
method,MASEM caution,"Jak, S., & Cheung, M. W.-L. (2024). A cautionary note on univariate-r approaches to MASEM.","https://doi.org/10.1177/25152459241274249","Supports warning that separately pooled correlations can give incorrect SEs/model fit.",core,"Use for reviewer defense against naive pooled matrix approach."
method,MASEM primer,"Valentine, J. C., Pigott, T. D., & Rothstein, H. R. (2022). A primer on meta-analytic structural equation modeling.","https://doi.org/10.1007/s11121-021-01298-5","General primer for MASEM as theory testing over pooled relations.",core,"Good reviewer-friendly methods citation."
method,MASEM reporting,"Landis, R. S. (2013). Successfully combining meta-analysis and structural equation modeling: Recommendations and strategies.","https://doi.org/10.1177/1094428112464967","Cite for reporting and strategy recommendations.",supplementary,"Useful for limitations and model-comparison reporting."
method,MASEM heterogeneity,"Yu, J., Downes, P. E., Carter, K. M., & O'Boyle, E. H. (2016). The problem of effect size heterogeneity in MASEM.","https://doi.org/10.1037/met0000061","Supports attention to heterogeneity across correlations and paths.",supplementary,"Useful for robustness and random-effects rationale."
method,MASEM Bayesian,"Ke, Z., Zhang, Q., & Tong, X. (2019). Bayesian meta-analytic SEM.","https://doi.org/10.1080/10705511.2018.1559062","Candidate sensitivity route if standard TSSEM remains unstable.",candidate,"Do not use without implementation and validation."
