analysis_record_id,analysis_set,analysis_role,input_id,source_decision_id,source_pair,study_id,construct_1,construct_2,construct_pair,construct_pair_canonical,construct_pair_direction,r_value,r_numeric,r_abs,r_source,statistic_family,evidence_type,is_source_reported_or_direct,is_model_derived_or_converted,include_primary,include_expanded,include_sensitivity,sample_size,sample_size_numeric,country,education_level,user_role,ai_type,common_method_bias,theoretical_framework,significance,confidence,consensus_basis,conversion_rule,override_rule,source_location,source_artifact,source_locator,notes,freeze_tier,include_primary_model_ready,freeze_decision,substitution_scenario,substitution_action,substitution_source_task_unit_id,substitution_review_priority,substitution_model_id,substitution_original_r_numeric,substitution_r_numeric,substitution_delta,sample_size_original,sample_size_numeric_original,sample_size_reconciliation_status,sample_size_reconciliation_source,sample_size_reconciliation_rule,sample_size_reconciliation_note,masem_n_weighted_eligibility,sample_size_pdf_override_original_status,sample_size_pdf_override_value,sample_size_pdf_override_source,sample_size_pdf_override_status,sample_size_pdf_override_note
P1-PRIMARY-00001,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00031,R1R4-SRC-V2-0142,R1_R4,S148,ATT,BI,ATT-BI,ATT-BI,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.69,0.69,0.69,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,603,603.0,"mixed / Japan, China, New Zealand",,,,,,NR,medium,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,"PDF states an explanatory sequential mixed-method study of 637/687 undergraduate students across Japan, China, and New Zealand; Fig. 2 reports the correlation heatmap and Table 6 reports model paths.",<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=59; row=2,Use as source-reported correlation/heatmap value; source significance is not reported in the table.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_p0_p1_review,P2-TASK-00142,P0_expert_review_numeric_or_masem,,0.690000,0.690000,0.000000,,,filled_from_full_corpus_reference_pair,S148_full_sample_ATT_BI,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00002,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00032,R1R4-SRC-V2-0143,R1_R4,S148,ATT,EE,ATT-EE,ATT-EE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.46,0.46,0.46,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,603,603.0,"mixed / Japan, China, New Zealand",,,,,,NR,medium,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,"PDF states an explanatory sequential mixed-method study of 637/687 undergraduate students across Japan, China, and New Zealand; Fig. 2 reports the correlation heatmap and Table 6 reports model paths.",<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=59; row=3,Use as source-reported correlation/heatmap value; source significance is not reported in the table.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_p0_p1_review,P2-TASK-00143,P0_expert_review_numeric_or_masem,,0.460000,0.460000,0.000000,,,filled_from_full_corpus_reference_pair,S148_full_sample_ATT_EE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00003,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00033,R1R4-SRC-V2-0144,R1_R4,S148,ATT,PE,ATT-PE,ATT-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.48,0.48,0.48,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,603,603.0,"mixed / Japan, China, New Zealand",,,,,,NR,medium,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,"PDF states an explanatory sequential mixed-method study of 637/687 undergraduate students across Japan, China, and New Zealand; Fig. 2 reports the correlation heatmap and Table 6 reports model paths.",<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=59; row=4,Use as source-reported correlation/heatmap value; source significance is not reported in the table.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_p0_p1_review,P2-TASK-00144,P0_expert_review_numeric_or_masem,,0.480000,0.480000,0.000000,,,filled_from_full_corpus_reference_pair,S148_full_sample_ATT_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00004,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00034,R1R4-SRC-V2-0145,R1_R4,S148,BI,UB,BI-UB,BI-UB,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.66,0.66,0.66,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,603,603.0,"mixed / Japan, China, New Zealand",,,,,,NR,medium,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,"PDF states an explanatory sequential mixed-method study of 637/687 undergraduate students across Japan, China, and New Zealand; Fig. 2 reports the correlation heatmap and Table 6 reports model paths.",<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=59; row=5,Use as source-reported correlation/heatmap value; source significance is not reported in the table.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_p0_p1_review,P2-TASK-00145,P0_expert_review_numeric_or_masem,,0.660000,0.660000,0.000000,,,filled_from_full_corpus_reference_pair,S148_full_sample_BI_UB,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00005,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00035,R1R4-SRC-V2-0146,R1_R4,S148,EE,PE,EE-PE,EE-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.58,0.58,0.58,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,603,603.0,"mixed / Japan, China, New Zealand",,,,,,NR,medium,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,"PDF states an explanatory sequential mixed-method study of 637/687 undergraduate students across Japan, China, and New Zealand; Fig. 2 reports the correlation heatmap and Table 6 reports model paths.",<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=59; row=6,Use as source-reported correlation/heatmap value; source significance is not reported in the table.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_p0_p1_review,P2-TASK-00146,P0_expert_review_numeric_or_masem,,0.580000,0.580000,0.000000,,,filled_from_full_corpus_reference_pair,S148_full_sample_EE_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00006,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00036,R1R4-SRC-V2-0160,R1_R4,S034,BI,EE,BI-EE,BI-EE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.62,0.62,0.62,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,148,148.0,,,,,,TAM; HISAM; TRI,p<.01,high,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness.,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=62; row=2,Use as source-reported correlation from Fig. 2/discussion.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,llm_exact_numeric_replacement,P2-TASK-00160,,codex:gpt-5.5,0.620000,0.620000,0.000000,,,filled_from_full_corpus_reference_pair,S034_full_sample_BI_EE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00007,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00037,R1R4-SRC-V2-0161,R1_R4,S034,BI,PE,BI-PE,BI-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.65,0.65,0.65,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,148,148.0,,,,,,TAM; HISAM; TRI,p<.01,high,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness.,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=62; row=3,Use as source-reported correlation from Fig. 2/discussion.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,llm_exact_numeric_replacement,P2-TASK-00161,,codex:gpt-5.5,0.650000,0.650000,0.000000,,,filled_from_full_corpus_reference_pair,S034_full_sample_BI_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00008,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00038,R1R4-SRC-V2-0162,R1_R4,S034,EE,PE,EE-PE,EE-PE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.68,0.68,0.68,direct/heatmap,source_reported_direct_r,zero-order/direct correlation heatmap,1,0,1,1,0,148,148.0,,,,,,TAM; HISAM; TRI,NR,high,source_adjudicated_after_human_review_v2_beta_path_direct_included,explicit_r_value,none,PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness.,<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Review_Packets_20260530/AI_Adoption_R1_R4_Table36_62_source_adjudication_decisions_20260530.csv,table=62; row=4,Use as source-reported heatmap correlation; no significance reported.,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,llm_exact_numeric_replacement,P2-TASK-00162,,codex:gpt-5.5,0.680000,0.680000,0.000000,,,filled_from_full_corpus_reference_pair,S034_full_sample_EE_PE,study_pair_single_n_from_frozen_reference,Filled from study+construct-pair match in the 2026-06-09 frozen full-corpus reference.,include_n_weighted_masem,filled_from_full_corpus_reference_pair,,,not_needed_existing_source_supported_n,Existing numeric N retained.
P1-PRIMARY-00009,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00041,R2R3-CORR-V2-00079,R2_R3,S218,ATT,BI,ATT-BI,ATT-BI,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.78,0.78,0.78,direct,human_consensus_direct_r,direct,1,0,1,1,0,242,242.0,,,,,,,p<.001,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,"Table 1, p. 5",<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=80,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_trace_review,P2-TASK-00294,P1_source_or_human_disagreement_review,,0.780000,0.780000,0.000000,,,filled_from_pdf_source_check_study_level_n,S218.pdf participants section and Table 1 source context,pdf_source_checked_study_level_analytic_sample_n,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,include_n_weighted_masem,missing_n_excluded_from_n_weighted_masem,242,S218.pdf participants section and Table 1 source context,applied_pdf_recovered_study_level_n,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.
P1-PRIMARY-00010,primary,source-reported or human-adjudicated direct-r primary input,DIRECT-R-V2-00042,R2R3-CORR-V2-00080,R2_R3,S218,ATT,EE,ATT-EE,ATT-EE,"as_reported; correlation analyses should use canonical key, beta/path sensitivity keeps reported direction in construct_1/construct_2",0.68,0.68,0.68,direct,human_consensus_direct_r,direct,1,0,1,1,0,242,242.0,,,,,,,p<.001,human_final,explicit_r2_r3_consensus_sheet_or_implicit_blank_v2,explicit_direct_r,none,"Table 1, p. 5",<PRIVATE_AI_ADOPTION_DOCUMENTS_ROOT>/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=81,ready_r_value_direct,frozen_primary_direct_or_direct_like,1,retain_primary,expert_reviewed_llm_assisted_primary,retain_human_reference_after_trace_review,P2-TASK-00295,P1_source_or_human_disagreement_review,,0.680000,0.680000,0.000000,,,filled_from_pdf_source_check_study_level_n,S218.pdf participants section and Table 1 source context,pdf_source_checked_study_level_analytic_sample_n,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,include_n_weighted_masem,missing_n_excluded_from_n_weighted_masem,242,S218.pdf participants section and Table 1 source context,applied_pdf_recovered_study_level_n,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.
