ai_trace_status,candidate_status,study_id,missing_pair,construct_1,construct_2,candidate_value,present_full10_pairs,missing_full10_pairs,supported_constructs_in_human_reference,construct_1_human_supported,construct_2_human_supported,exact_pair_in_human_or_frozen_reference,exact_pair_sources,frozen_study_status_summary,triage_class,recommended_action,triage_reason,construct_1_terms_found,construct_2_terms_found,table_terms_found,pdf_path_local_only,paper_b_boundary
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,PE-SE,PE,SE,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,yes,yes,yes,frozen:included_frozen_reference_residual_batch4_phase2_pairD_source_checked,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,already_in_human_or_frozen_reference,do_not_add_duplicate,Exact unordered pair is already present in latest/frozen human-supported rows.,PE;perceived usefulness;performance expectancy;useful;usefulness,SE;computer self-efficacy;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,ANX-ATT,ANX,ATT,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,no,no,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,anxiety,attitude;attitudes,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S016,TRU-UB,TRU,UB,,21,24,ANX;ATT;BI;EE;FC;PE;SE,no,no,no,,notes=study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,trust,use,correlation;fornell;larcker;latent;pearson;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S016.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S025,ATT-TRU,ATT,TRU,,21,24,BI;EE;FC;PE;SE;SI;UB,no,no,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,attitude;attitudes,trust,correlation;correlations;fornell;inter-construct;larcker;latent;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S025.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S030,ANX-SE,ANX,SE,,21,24,ATT;BI;EE;FC;PE;SI;TRU,no,no,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,anxiety,AI self-efficacy;SE;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S030.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S030,ANX-UB,ANX,UB,,21,24,ATT;BI;EE;FC;PE;SI;TRU,no,no,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,anxiety,usage behavior;use,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S030.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S030,SE-UB,SE,UB,,21,24,ATT;BI;EE;FC;PE;SI;TRU,no,no,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,AI self-efficacy;SE;efficacy;self-efficacy,usage behavior;use,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S030.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S036,ATT-FC,ATT,FC,,21,24,ANX;BI;EE;PE;SE;SI;TRU,no,no,no,,notes=study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,attitude;attitude toward;attitudes,FC;resources;support,correlations;fornell;larcker;latent;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S036,ATT-UB,ATT,UB,,21,24,ANX;BI;EE;PE;SE;SI;TRU,no,no,no,,notes=study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,attitude;attitude toward;attitudes,actual use;usage behavior;use,correlations;fornell;larcker;latent;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S036,FC-UB,FC,UB,,21,24,ANX;BI;EE;PE;SE;SI;TRU,no,no,no,,notes=study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,likely_false_positive_no_construct_human_supported,do_not_add_unless_reopened_by_source_evidence,Neither construct is human/frozen-supported for this study; likely AI term-hit overreach or source mismatch.,FC;resources;support,actual use;usage behavior;use,correlations;fornell;larcker;latent;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf,candidate_only_not_analytic_input_until_human_confirmed
