run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01760,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1546 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1546,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for AUT-SI in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01761,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1547 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1547,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for AUT-TRA in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01762,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1548 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1548,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for AUT-TRU in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01763,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1549 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1549,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for AUT-UB in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01765,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1551 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1551,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for BI-FC in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01767,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1553 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1553,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for BI-SE in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01769,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1555 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1555,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for BI-TRA in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01771,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1557 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1557,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for BI-UB in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01772,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1558 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1558,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for EE-FC in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01773,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-PE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1559 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1559,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for EE-PE in S163
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-05T21:15:55Z,0,,P2-TASK-01774,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1560 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1560,,1.0,False,,not_persisted_batch,locked,2026-06-05T21:15:55Z,claude_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no value reported for EE-SE in S163
