phase_block,pair,study_id,title,year,doi,pdf,coder_a,coder_a_status,coder_a_notes,coder_b,coder_b_status,coder_b_notes,n_difference_rows,n_metadata_diff,n_one_coder_only,n_numeric_or_source_diff,review_note
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,done,,R2,done,,21,7,8,6,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,done,2,R2,done,,16,7,1,8,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,R1,done,"R1 coded; beta-converted paths, TTF mapped to FC.",R2,done,,12,7,2,3,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,R1,done,1,R2,done,,22,7,0,15,metadata differences; numeric/source correlation differences
phase1,Pair A,S018,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,R1,done,2,R2,done,,17,7,0,10,metadata differences; numeric/source correlation differences
phase1,Pair A,S019,Exploring user awareness and perceived usefulness of generative AI in higher edu,2025,10.1007/s10639-025-13612-7,S019.pdf,R1,done,1,R2,done,,12,9,0,3,metadata differences; numeric/source correlation differences
phase1,Pair A,S030,The psychology of AI adoption in education: University students' intentions to u,2025,10.1016/j.actpsy.2025.105789,S030.pdf,R1,done,1,R2,done,,36,9,12,15,metadata differences; one-coder-only correlation values; numeric/source correlation differences
phase1,Pair A,S033,"Extending the technology acceptance model: The role of subjective norms, ethics,",2025,10.1016/j.caeai.2025.100379,S033.pdf,R1,done,"R1 coded; beta-converted paths, ethics not coded as target construct.",R2,done_inferred,,21,15,6,0,metadata differences; one-coder-only correlation values
phase1,Pair A,S035,Understanding of ChatGPT adoption among business school students,2025,10.1016/j.caeai.2025.100441,S035.pdf,R1,done,R1 coded; ChatGPT Adoption mapped to UB with review flag.,R2,done_inferred,,25,5,0,20,metadata differences; numeric/source correlation differences
phase1,Pair A,S038,ChatGPT in higher education - A Student's perspective,2025,10.1016/j.chbr.2024.100565,S038.pdf,R1,done,2,R2,done,,13,7,0,6,metadata differences; numeric/source correlation differences
