route,pair,study_pair_rows
paper_a_core7_att_mediation,ATT-BI,30
paper_a_core7_att_mediation,ATT-EE,26
paper_a_core7_att_mediation,ATT-FC,10
paper_a_core7_att_mediation,ATT-PE,27
paper_a_core7_att_mediation,ATT-SI,12
paper_a_core7_att_mediation,ATT-UB,13
paper_a_core7_att_mediation,BI-EE,54
paper_a_core7_att_mediation,BI-FC,36
paper_a_core7_att_mediation,BI-PE,57
paper_a_core7_att_mediation,BI-SI,39
paper_a_core7_att_mediation,BI-UB,31
paper_a_core7_att_mediation,EE-FC,34
paper_a_core7_att_mediation,EE-PE,58
paper_a_core7_att_mediation,EE-SI,33
paper_a_core7_att_mediation,EE-UB,30
paper_a_core7_att_mediation,FC-PE,34
paper_a_core7_att_mediation,FC-SI,28
paper_a_core7_att_mediation,FC-UB,22
paper_a_core7_att_mediation,PE-SI,35
paper_a_core7_att_mediation,PE-UB,29
paper_a_core7_att_mediation,SI-UB,22
