route,construct_1,construct_2,nearpd_r
paper_a_full10_theory_target,PE,PE,1
paper_a_full10_theory_target,EE,PE,0.5395355851409395
paper_a_full10_theory_target,SI,PE,0.45800556751684174
paper_a_full10_theory_target,FC,PE,0.47020424504553526
paper_a_full10_theory_target,ATT,PE,0.5988378040782362
paper_a_full10_theory_target,SE,PE,0.5024899707202599
paper_a_full10_theory_target,TRU,PE,0.4592603804922772
paper_a_full10_theory_target,ANX,PE,0.3678702944213219
paper_a_full10_theory_target,BI,PE,0.6129215780763122
paper_a_full10_theory_target,UB,PE,0.5245736661201749
paper_a_full10_theory_target,PE,EE,0.5395355851409395
paper_a_full10_theory_target,EE,EE,1
paper_a_full10_theory_target,SI,EE,0.40791515316128757
paper_a_full10_theory_target,FC,EE,0.5670793832775
paper_a_full10_theory_target,ATT,EE,0.5009564561189214
paper_a_full10_theory_target,SE,EE,0.42211617834785997
paper_a_full10_theory_target,TRU,EE,0.4530033928403081
paper_a_full10_theory_target,ANX,EE,0.2563270893653506
paper_a_full10_theory_target,BI,EE,0.5394553929329302
paper_a_full10_theory_target,UB,EE,0.4924332889071054
paper_a_full10_theory_target,PE,SI,0.45800556751684174
paper_a_full10_theory_target,EE,SI,0.40791515316128757
paper_a_full10_theory_target,SI,SI,1
paper_a_full10_theory_target,FC,SI,0.41811936295959456
paper_a_full10_theory_target,ATT,SI,0.5164705321309375
paper_a_full10_theory_target,SE,SI,0.3654980953227804
paper_a_full10_theory_target,TRU,SI,0.3901313022948038
paper_a_full10_theory_target,ANX,SI,0.27496754293862546
paper_a_full10_theory_target,BI,SI,0.5487514353151531
paper_a_full10_theory_target,UB,SI,0.4527357274171306
paper_a_full10_theory_target,PE,FC,0.47020424504553526
paper_a_full10_theory_target,EE,FC,0.5670793832775
paper_a_full10_theory_target,SI,FC,0.41811936295959456
paper_a_full10_theory_target,FC,FC,1
paper_a_full10_theory_target,ATT,FC,0.4780827321174104
paper_a_full10_theory_target,SE,FC,0.34565018080877435
paper_a_full10_theory_target,TRU,FC,0.4111077122870634
paper_a_full10_theory_target,ANX,FC,0.504741449453972
paper_a_full10_theory_target,BI,FC,0.5083759379472864
paper_a_full10_theory_target,UB,FC,0.4790584353633705
paper_a_full10_theory_target,PE,ATT,0.5988378040782362
paper_a_full10_theory_target,EE,ATT,0.5009564561189214
paper_a_full10_theory_target,SI,ATT,0.5164705321309375
paper_a_full10_theory_target,FC,ATT,0.4780827321174104
paper_a_full10_theory_target,ATT,ATT,1
paper_a_full10_theory_target,SE,ATT,0.5293835698812612
paper_a_full10_theory_target,TRU,ATT,0.6265565111719309
paper_a_full10_theory_target,ANX,ATT,0.3778211340247175
paper_a_full10_theory_target,BI,ATT,0.6792118545537486
paper_a_full10_theory_target,UB,ATT,0.6403419759830153
paper_a_full10_theory_target,PE,SE,0.5024899707202599
paper_a_full10_theory_target,EE,SE,0.42211617834785997
paper_a_full10_theory_target,SI,SE,0.3654980953227804
paper_a_full10_theory_target,FC,SE,0.34565018080877435
paper_a_full10_theory_target,ATT,SE,0.5293835698812612
paper_a_full10_theory_target,SE,SE,1
paper_a_full10_theory_target,TRU,SE,0.6564511107540583
paper_a_full10_theory_target,ANX,SE,0.5074313047670234
paper_a_full10_theory_target,BI,SE,0.3434047685239915
paper_a_full10_theory_target,UB,SE,0.4092004633016237
paper_a_full10_theory_target,PE,TRU,0.4592603804922772
paper_a_full10_theory_target,EE,TRU,0.4530033928403081
paper_a_full10_theory_target,SI,TRU,0.3901313022948038
paper_a_full10_theory_target,FC,TRU,0.4111077122870634
paper_a_full10_theory_target,ATT,TRU,0.6265565111719309
