route,pair,study_pair_rows
paper_a_core7_att_mediation,ATT-BI,60
paper_a_core7_att_mediation,ATT-EE,54
paper_a_core7_att_mediation,ATT-FC,26
paper_a_core7_att_mediation,ATT-PE,59
paper_a_core7_att_mediation,ATT-SI,27
paper_a_core7_att_mediation,ATT-UB,20
paper_a_core7_att_mediation,BI-EE,143
paper_a_core7_att_mediation,BI-FC,85
paper_a_core7_att_mediation,BI-PE,152
paper_a_core7_att_mediation,BI-SI,103
paper_a_core7_att_mediation,BI-UB,73
paper_a_core7_att_mediation,EE-FC,77
paper_a_core7_att_mediation,EE-PE,140
paper_a_core7_att_mediation,EE-SI,84
paper_a_core7_att_mediation,EE-UB,60
paper_a_core7_att_mediation,FC-PE,76
paper_a_core7_att_mediation,FC-SI,66
paper_a_core7_att_mediation,FC-UB,48
paper_a_core7_att_mediation,PE-SI,92
paper_a_core7_att_mediation,PE-UB,63
paper_a_core7_att_mediation,SI-UB,44
