route,pair,study_pair_rows
paper_a_full10_theory_target,ANX-ATT,9
paper_a_full10_theory_target,ANX-BI,17
paper_a_full10_theory_target,ANX-EE,18
paper_a_full10_theory_target,ANX-FC,12
paper_a_full10_theory_target,ANX-PE,18
paper_a_full10_theory_target,ANX-SE,7
paper_a_full10_theory_target,ANX-SI,10
paper_a_full10_theory_target,ANX-TRU,3
paper_a_full10_theory_target,ANX-UB,5
paper_a_full10_theory_target,ATT-BI,60
paper_a_full10_theory_target,ATT-EE,54
paper_a_full10_theory_target,ATT-FC,26
paper_a_full10_theory_target,ATT-PE,59
paper_a_full10_theory_target,ATT-SE,10
paper_a_full10_theory_target,ATT-SI,27
paper_a_full10_theory_target,ATT-TRU,8
paper_a_full10_theory_target,ATT-UB,20
paper_a_full10_theory_target,BI-EE,143
paper_a_full10_theory_target,BI-FC,85
paper_a_full10_theory_target,BI-PE,152
paper_a_full10_theory_target,BI-SE,30
paper_a_full10_theory_target,BI-SI,103
paper_a_full10_theory_target,BI-TRU,34
paper_a_full10_theory_target,BI-UB,73
paper_a_full10_theory_target,EE-FC,77
paper_a_full10_theory_target,EE-PE,140
paper_a_full10_theory_target,EE-SE,23
paper_a_full10_theory_target,EE-SI,84
paper_a_full10_theory_target,EE-TRU,30
paper_a_full10_theory_target,EE-UB,60
paper_a_full10_theory_target,FC-PE,76
paper_a_full10_theory_target,FC-SE,12
paper_a_full10_theory_target,FC-SI,66
paper_a_full10_theory_target,FC-TRU,9
paper_a_full10_theory_target,FC-UB,48
paper_a_full10_theory_target,PE-SE,29
paper_a_full10_theory_target,PE-SI,92
paper_a_full10_theory_target,PE-TRU,31
paper_a_full10_theory_target,PE-UB,63
paper_a_full10_theory_target,SE-SI,16
paper_a_full10_theory_target,SE-TRU,6
paper_a_full10_theory_target,SE-UB,11
paper_a_full10_theory_target,SI-TRU,19
paper_a_full10_theory_target,SI-UB,44
paper_a_full10_theory_target,TRU-UB,13
