pair,c_a,c_a_role,c_b,c_b_role,k,total_n,pooled_r,ci_low,ci_high,i2,in_primary_structural_path,diagnostic_priority,manuscript_use
ATT-UB,ATT,evaluative mediator,UB,behavioral outcome,14,7027,0.6404650156271104,0.5170228589244749,0.7378099570554602,98.36524648493268,FALSE,attitude_extension_diagnostic,attitude-mediation theoretical framework or supplemental diagnostic
ANX-ATT,ANX,threat/anxiety mechanism,ATT,evaluative mediator,6,2091,0.3797878471410639,0.08764233076038082,0.6117765818737594,98.08509939125942,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-BI,ANX,threat/anxiety mechanism,BI,intention mediator/outcome,3,1161,0.08768079241535555,-0.17755540449186305,0.34104132431708395,95.3148464227946,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-EE,ANX,threat/anxiety mechanism,EE,effort/usability belief,3,1112,0.2559794430896574,-0.10967622868281528,0.5606094389771719,97.45252114519036,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-FC,ANX,threat/anxiety mechanism,FC,resource/condition belief,2,750,0.5068904636661453,0.22542586002896564,0.7102593357957419,95.23294987240408,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-PE,ANX,threat/anxiety mechanism,PE,usefulness/performance belief,4,1594,0.36810718934694625,0.03923534393580388,0.6250241571359408,97.96204369599826,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-SE,ANX,threat/anxiety mechanism,SE,capability mechanism,2,864,0.5107285742690101,-0.4979449323746912,0.9320785264365578,99.63178974179478,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-SI,ANX,threat/anxiety mechanism,SI,social-norm belief,3,1127,0.2751283224227303,-0.04678391318894498,0.5452703498405534,96.75727171828548,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-TRU,ANX,threat/anxiety mechanism,TRU,reliance/trust mechanism,2,764,-0.12144293729145134,-0.38784108920899785,0.16368007473588314,93.41783892657378,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ANX-UB,ANX,threat/anxiety mechanism,UB,behavioral outcome,2,632,0.22788358144423912,-0.535906473782186,0.7865451942535944,99.08468887284828,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
ATT-SE,ATT,evaluative mediator,SE,capability mechanism,5,2419,0.527726785180136,0.2973737140302659,0.700021364904461,97.93876920570668,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
BI-SE,BI,intention mediator/outcome,SE,capability mechanism,9,4669,0.34404383594610005,0.18525739869476412,0.4853219763928142,97.13149958763064,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
EE-SE,EE,effort/usability belief,SE,capability mechanism,7,3229,0.42240904896250353,0.16816483538918475,0.6239600806093518,98.4726791252737,FALSE,future_mechanism_feasibility_or_pairwise_only,supplemental ANX/SE feasibility and future-mechanism discussion
