analysis_record_id,study_id,construct_pair,sample_size_numeric_original,sample_size_numeric_reconciled,sample_size_reconciliation_status,sample_size_reconciliation_source,masem_n_weighted_eligibility,preanalysis_action,source_location,source_artifact,source_locator,current_gate_reason,pdf_recovered_sample_size,pdf_source_location_checked,source_check_status,source_check_reason,researcher_confirmation_required,recommended_action_after_source_check,recommended_default_if_unresolved
P1-PRIMARY-00009,S218,ATT-BI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,"Table 1, p. 5",/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=80,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00010,S218,ATT-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,"Table 1, p. 5",/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=81,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00011,S218,ATT-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,"Table 1, p. 5",/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=83,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00012,S218,BI-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,"Table 1, p. 5",/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=98,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00013,S218,BI-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,"Table 1, p. 5",/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=100,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00014,S218,EE-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,"Table 1, p. 5",/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=107,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00015,S185,ANX-ATT,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,"Table 3, p.7",/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=134,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00016,S185,ANX-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,0.473,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=137,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00017,S185,ANX-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,0.435,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=139,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
P1-PRIMARY-00018,S185,ANX-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary,0.216,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_Analysis_Input_20260530/Paper2_R2_R3_consensus_correlations_full_matrix_20260530.csv,source_sheet_row=141,not filled by deterministic reconciliation; PDF source check required before any primary exclusion,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem,exclude_from_primary_n_weighted_tssem_masem_retain_in_sensitivity_ledger
