study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S030,S030_full_sample_ATT_BI,phase1,Pair A,full_sample,226,ATT,BI,0.613,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_ATT_EE,phase1,Pair A,full_sample,226,ATT,EE,0.556,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_ATT_FC,phase1,Pair A,full_sample,226,ATT,FC,0.571,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,medium,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_ATT_PE,phase1,Pair A,full_sample,226,ATT,PE,0.504,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_ATT_SI,phase1,Pair A,full_sample,226,ATT,SI,0.666,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_ATT_TRU,phase1,Pair A,full_sample,226,ATT,TRU,0.619,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_BI_EE,phase1,Pair A,full_sample,226,BI,EE,0.555,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_BI_FC,phase1,Pair A,full_sample,226,BI,FC,0.57,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,medium,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_BI_PE,phase1,Pair A,full_sample,226,BI,PE,0.581,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
S030,S030_full_sample_BI_SI,phase1,Pair A,full_sample,226,BI,SI,0.703,source_reported_latent_correlation,,S030.pdf Table 4 Fornell-Larcker criterion,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch1_source_checked,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; source labels PEOU/PU/PT/ATT/SN/PBC/INT mapped to EE/PE/TRU/ATT/SI/FC/BI. PBC is mapped to FC; R2 mapped PBC to SE and is not used for this draft.
