study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S004,S004_full_sample_BI_EE,phase2,Pair D,full_sample,485,BI,EE,0.582,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_BI_FC,phase2,Pair D,full_sample,485,BI,FC,0.644,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_BI_PE,phase2,Pair D,full_sample,485,BI,PE,0.667,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_BI_SI,phase2,Pair D,full_sample,485,BI,SI,0.668,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_BI_TRU,phase2,Pair D,full_sample,485,BI,TRU,0.63,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_BI_UB,phase2,Pair D,full_sample,485,BI,UB,0.751,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_EE_FC,phase2,Pair D,full_sample,485,EE,FC,0.664,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_EE_PE,phase2,Pair D,full_sample,485,EE,PE,0.697,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_EE_SI,phase2,Pair D,full_sample,485,EE,SI,0.61,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_EE_TRU,phase2,Pair D,full_sample,485,EE,TRU,0.52,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_EE_UB,phase2,Pair D,full_sample,485,EE,UB,0.607,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_FC_PE,phase2,Pair D,full_sample,485,FC,PE,0.676,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_FC_SI,phase2,Pair D,full_sample,485,FC,SI,0.59,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_FC_UB,phase2,Pair D,full_sample,485,FC,UB,0.533,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_PE_SE,phase2,Pair D,full_sample,485,PE,SE,0.601,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_PE_SI,phase2,Pair D,full_sample,485,PE,SI,0.637,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_PE_TRU,phase2,Pair D,full_sample,485,PE,TRU,0.541,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_PE_UB,phase2,Pair D,full_sample,485,PE,UB,0.607,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
S004,S004_full_sample_SI_TRU,phase2,Pair D,full_sample,485,SI,TRU,0.563,source_reported_pearson_or_latent_correlation,,S004.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairD_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair D adjudication 20260608,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.
