study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S072,phase1,Pair B,500,local_source_pdf_text_checked_not_committed,S072.pdf Table 2 Discriminant validity Fornell-Larcker criterion,reference_draft_created_from_source_corrected_core_utaut_rows,15,source_corrected,fornell_larcker_off_diagonal_latent_correlation_source_corrected_mapping,15 high,"Use source-corrected core UTAUT plus VTA-use rows from Table 2. Privacy concerns are not mapped to ANX, and hedonic motivation is not mapped to ATT.","Privacy concerns, robotic adoption, hedonic motivation, habit, and learning value are excluded from this target row draft.",R3/R4 mapping disagreements remain visible; retained rows are source-checkable off-diagonal Table 2 values.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S060,phase1,Pair B,415,local_source_pdf_text_checked_not_committed,S060.pdf Table 4 Discriminant validity statistical results,reference_draft_created_from_one_coder_source_checked_rows,15,R4,fornell_larcker_off_diagonal_latent_correlation,15 high,"Use R4 one-coder row set. Table 4 reports off-diagonal correlations among PE, EE, SI, FC, ATT, and BI.",Perceived learning resources and perceived enjoyment are outside the retained target row set.,One-coder-only row set should remain visible in final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S127,phase1,Pair B,265,local_source_pdf_text_checked_not_committed,S127.pdf Table 4 Discriminant validity for the model,reference_draft_created_from_one_coder_source_checked_rows_with_naming_caveat,15,R4,fornell_larcker_off_diagonal_latent_correlation,11 high; 4 medium,"Use R4 row set. PU maps to PE, PEOU to EE, AISE to SE, AIA to ANX, SI to SI, and BI to BI. The paper label PE means perceived enjoyment and is excluded.",Perceived enjoyment and output quality are excluded from this target row draft.,Naming collision caveat: paper PE is not target PE; target PE comes from PU.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S193,phase1,Pair B,186,local_source_pdf_text_checked_not_committed,S193.pdf Table 2 Distinguish validity statistics,reference_draft_created_from_one_coder_source_checked_rows,15,R4,fornell_larcker_off_diagonal_latent_correlation,15 high,Use R4 row set. X1/X2/X3/X4/X7/BI are mapped to PE/EE/SI/FC/ATT/BI.,Perceived learning resources and perceived fun are outside the retained target row set.,One-coder-only row set should remain visible in final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S200,phase2,Pair C,431,local_source_pdf_text_checked_not_committed,S200.pdf measurement/discriminant-validity sections and Table 6 path coefficients,manual_followup_path_only_or_cross_loading_required,0,none_manual_followup,manual_followup_required_before_reference_draft,manual follow-up,Source does not provide a clean target correlation matrix; coder rows mix beta/path coefficients and cross-loading/discriminant-validity evidence. No batch 3 row draft emitted.,No rows emitted in batch 3.,Requires expert decision on whether beta/path conversion is permitted or whether the study should be excluded from direct-r reference rows.,Resolve beta/path conversion permissibility or exclude from direct-r reference rows.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S157,phase2,Pair D,620,local_source_pdf_text_checked_not_committed,S157.pdf Table 3 Between-construct correlation and descriptive statistics,reference_draft_created_from_R2_complete_table3_rows,28,R2,source_reported_pearson_correlation,21 high; 7 medium,Use R2 complete Table 3 row set. PC maps to SE and PA maps to AUT with medium confidence; R3 omitted AUT/SE rows and miscoded one PE-UB value.,"Hedonic motivation, price value, habit, and perceived relatedness are excluded from this target row draft.",PC-to-SE and PA-to-AUT mappings remain medium-confidence caveats for final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S065,phase2,Pair D,517,local_source_pdf_text_checked_not_committed,S065.pdf Table 2 Fornell-Larcker Criterion,reference_draft_created_from_R3_source_corrected_core_tam_rows,10,R3,fornell_larcker_off_diagonal_latent_correlation_source_corrected_mapping,10 high,Use R3 core TAM row set. R2 mapped non-target concerns/ethics/responsible-AI constructs into FC/TRU/AUT labels and is not used for this draft.,"Concerns, perceived ethics, and responsible AI are excluded from this target row draft.",Carry R2 construct-mapping mismatch as an audit note.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S214,phase1,Pair B,1117,local_source_pdf_text_checked_not_committed,S214.pdf Table 5 Fornell-Larcker,reference_draft_created_from_source_corrected_gptu_to_ub_rows,15,source_corrected,fornell_larcker_off_diagonal_latent_correlation_source_corrected_mapping,15 high,Use source-corrected Table 5 target rows. GPTU maps to UB; R3 hedonic-motivation-as-ATT rows are not used.,Hedonic motivation and habit are excluded from this target row draft.,GPTU-to-UB mapping should remain visible in final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S099,phase2,Pair D,294,local_source_pdf_text_checked_not_committed,S099.pdf Tables 2-3 factor comparison/hypothesis summaries,manual_followup_beta_path_only_required,0,none_manual_followup,manual_followup_required_before_reference_draft,manual follow-up,Source provides regression/path-style coefficients rather than a usable target correlation matrix. Both coders used beta-converted rows; no batch 3 row draft emitted.,No rows emitted in batch 3.,Requires expert beta-conversion/source-type decision before any reference rows are drafted.,Resolve beta/path conversion permissibility or exclude from direct-r reference rows.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S130,phase1,Pair B,500,local_source_pdf_text_checked_not_committed,S130.pdf Table 2 Descriptive statistics and correlations,reference_draft_created_with_table_sign_typo_caveat,10,R4,source_reported_pearson_correlation,9 high; 1 flagged,Use R4 row set as printed. Technology anxiety maps to ANX and perceived resources maps to FC.,Growth mindset is outside the retained target row set.,ANX-PE is printed as positive .47 although source text says technology anxiety is negatively correlated with other variables; retain as printed pending final visual/expert audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
