study_id,phase_block,pair,draft_status,draft_row_count,exclusion_code,decision_summary,decision_source,included_in_row_draft,remaining_action,notes
S033,phase1,Pair A,included_row_draft_high_confidence,6,,Use R1 beta-converted Table 5 path coefficients; retain ATT-EE=.06 from beta .013; exclude R2-only PE-UB=.013.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Audit beta-conversion provenance before any frozen full-corpus package.,Full row set drafted from logged decision.
S035,phase1,Pair A,included_row_draft_high_confidence,21,,Use R1 direct Table 4 values for unresolved R1-R2 correlation differences.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Audit row labels and UB wording flag before freeze.,Full R1 row set drafted.
S041,phase1,Pair A,excluded_study_status_draft,0,E-FT3,Exclude: general AI technology acceptance/use-frequency study; not educational AI adoption.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md,no,Carry exclusion code/rationale into full-corpus reference status layer and routine final audit.,Logged exclusion only; no target rows.
S051,phase1,Pair A,included_partial_row_draft,3,,"Do not map Perceived Risk to ANX; include R1 direct EE-FC=.59, EE-PE=.48, and FC-PE=.47.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Resolve remaining common direct rows and confirm Perceived Risk row exclusions before full study freeze.,Partial row draft only.
S081,phase1,Pair A,included_row_draft_high_confidence,10,,Use R1 direct Table 4 values for all unresolved R1-R2 correlation differences.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Audit row labels before freeze.,Full R1 row set drafted.
S120,phase1,Pair A,included_row_draft_high_confidence,5,,"Use R1 beta-converted path-coefficient values BI-EE=.06, BI-FC=.19, BI-PE=.32, BI-SI=.14, BI-UB=.69; exclude R2-only SI-TRU/SI-UB/TRU-UB.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Audit subgroup weighting and beta-conversion provenance before freeze.,Draft uses student/instructor weighted n=351.
S151,phase1,Pair A,included_partial_row_draft,1,,Use source-reported FC-UB=.558; preserve three-decimal precision.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Resolve/draft remaining target rows if full study row set is required.,Partial value decision only; UB wording flag retained.
S164,phase1,Pair A,included_partial_row_draft,3,,"Use EE-SI=-0.024, FC-PE=0.716, and PE-UB=0.632.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Resolve/draft remaining target rows if full study row set is required.,Partial value decision only.
S180,phase1,Pair A,excluded_study_status_draft,0,E-FT1,Exclude: no usable target construct-pair r or beta matrix.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,no,Carry exclusion code/rationale into full-corpus reference status layer and routine final audit.,Logged exclusion only; no target rows.
S191,phase1,Pair A,held_reconciliation_required,0,,Use R2 direct Table 2 values for unresolved R1-R2 correlation differences.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,no,Reconcile source/workbook/derived table because current combined long table lacks S191 R2 correlation rows.,No rows created.
S217,phase1,Pair A,included_row_draft_high_confidence,10,,Use R1 direct Table 4 values; exclude R2-only duplicated IU-PEU/IU-PU placements under different labels.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,yes,Audit row labels before freeze.,Full R1 row set drafted.
S220,phase1,Pair A,excluded_study_status_draft,0,E-FT3,Exclude: digital mental healthcare chatbot/content acceptance; not educational AI adoption.,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,no,Carry exclusion code/rationale into full-corpus reference status layer and routine final audit.,Logged exclusion only; no target rows.
