study_id,phase_block,pair,title,year,doi,pdf,coder_a,coder_a_status,coder_b,coder_b_status,n_difference_rows,n_metadata_diff,n_one_coder_only,n_numeric_or_source_diff,n_coder_correlation_rows,in_correlation_review_queue,source_evidence_logged,scoped_frozen_target_rows,scoped_frozen_audit_status,phase2_source_check_status,gap_category,step4_status,recommended_next_action,evidence_basis,review_note
S005,phase1,Pair A,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,done,R2,done,21,7,8,6,20,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S009,phase1,Pair A,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,done,R2,done,16,7,1,8,17,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S011,phase1,Pair A,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,R1,done,R2,done,12,7,2,3,8,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S015,phase1,Pair A,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,R1,done,R2,done,22,7,0,15,30,yes,no,0,,,residual_batch2_manual_followup_required_before_reference_draft,source_checked_manual_followup_not_frozen_full_corpus,Resolve batch 2 manual follow-up issue before row-level reference draft.,full_corpus_residual_batch2_source_audit_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; manual follow-up required before row draft
S018,phase1,Pair A,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,R1,done,R2,done,17,7,0,10,20,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S019,phase1,Pair A,Exploring user awareness and perceived usefulness of generative AI in higher edu,2025,10.1007/s10639-025-13612-7,S019.pdf,R1,done,R2,done,12,9,0,3,6,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S023,phase1,Pair A,Students’ acceptance and use of generative AI in pharmacy education: internation,2025,10.1007/s11096-025-01936-w,S023.pdf,R1,done,R2,done,12,12,0,0,0,no,no,0,,,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,Run lightweight metadata/status audit and confirm no target-row adjudication is needed before full freeze.,combined_study_review_queue_20260525.csv,metadata differences
S030,phase1,Pair A,The psychology of AI adoption in education: University students' intentions to u,2025,10.1016/j.actpsy.2025.105789,S030.pdf,R1,done,R2,done,36,9,12,15,42,yes,yes,21,residual_batch1_source_checked_reference_draft,,residual_batch1_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry residual batch 1 source-checked row draft into full-corpus freeze audit; continue residual batch 2 numeric/source adjudication before full-result Step 5.,full_corpus_residual_batch1_source_audit_20260608.csv; full_corpus_residual_batch1_reference_draft_20260608.csv,PBC-to-FC mapping remains a construct-family caveat for final expert freeze audit.
S033,phase1,Pair A,"Extending the technology acceptance model: The role of subjective norms, ethics,",2025,10.1016/j.caeai.2025.100379,S033.pdf,R1,done,R2,done_inferred,21,15,6,0,6,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values
S035,phase1,Pair A,Understanding of ChatGPT adoption among business school students,2025,10.1016/j.caeai.2025.100441,S035.pdf,R1,done,R2,done_inferred,25,5,0,20,42,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; numeric/source correlation differences
S038,phase1,Pair A,ChatGPT in higher education - A Student's perspective,2025,10.1016/j.chbr.2024.100565,S038.pdf,R1,done,R2,done,13,7,0,6,12,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S041,phase1,Pair A,Responsibility and AI: Exploring technology acceptance models,2025,10.1016/j.jik.2025.100852,S041.pdf,R1,done,R2,done_inferred,15,15,0,0,0,no,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md,metadata differences
S042,phase1,Pair A,Factors affecting Artificial Intelligence usage intention among nursing students,2025,10.1016/j.nedt.2025.106780,S042.pdf,R1,done,R2,done,12,6,0,6,12,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences
S044,phase1,Pair A,The predictive effect of nursing students' attitudes and acceptance towards arti,2025,10.1016/j.teln.2025.02.036,S044.pdf,R1,done,R2,done,14,4,0,10,20,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; numeric/source correlation differences
S046,phase1,Pair A,"Artificial intelligence, social influence, and AI anxiety: analyzing the intenti",2025,10.1057/s41599-025-05641-x,S046.pdf,R1,done,R2,done,30,7,10,13,36,yes,yes,15,residual_batch1_source_checked_reference_draft,,residual_batch1_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry residual batch 1 source-checked row draft into full-corpus freeze audit; continue residual batch 2 numeric/source adjudication before full-result Step 5.,full_corpus_residual_batch1_source_audit_20260608.csv; full_corpus_residual_batch1_reference_draft_20260608.csv,AI-STB-to-ANX remains a moderate-confidence mapping for final expert freeze audit.
S051,phase1,Pair A,Technology empowerment or risk avoidance? - investigating the overlooked factors,2025,10.1080/03075079.2025.2571674,S051.pdf,R1,done,R2,done,28,7,9,12,33,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S053,phase1,Pair A,"The (Un)Knowledgeable, the (Un)Skilled? Undertaking Chat-GPT Users' Benefit-Risk",2025,10.1080/10447318.2024.2365028,S053.pdf,R1,done,R2,done,24,9,5,10,25,yes,no,0,,,residual_batch2_source_checked_reference_draft_pending_full_freeze_application,source_checked_reference_draft_not_frozen_full_corpus,Carry batch 2 source-checked row draft into final full-corpus freeze audit; do not start Step 5 until full reference scope is frozen.,full_corpus_residual_batch2_source_audit_20260608.csv; full_corpus_residual_batch2_reference_draft_20260608.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed; row draft pending final full-corpus freeze audit
S054,phase1,Pair A,A study on behavioral intentions of artificial intelligence learning platform: C,2025,10.1080/10494820.2024.2343752,S054.pdf,R1,done,R2,done,26,11,5,10,25,yes,yes,0,,,phase1_logged_decision_or_progress_pending_step4_application,decision_logged_not_frozen_full_corpus,"Apply Phase 1 logged decision/progress to full-corpus reference draft, then run source/value audit before freeze.",data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S064,phase1,Pair A,AIDUA (artificial intelligence device use and acceptance) model to assess the ac,2025,10.1080/2331186x.2025.2560618,S064.pdf,R1,done,R2,done,12,7,2,3,8,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
S071,phase1,Pair A,Assessing attitudes and impact of AI integration in higher education,2025,10.1108/heswbl-02-2024-0065,S071.pdf,R1,done,R2,done,15,8,3,4,11,yes,no,0,,,correlation_disagreement_pending_adjudication,pre_adjudication_disagreement_not_frozen,Triage one-coder-only and numeric/source correlation differences; source-check high-impact rows before freeze.,combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences
