study_id,phase_block,pair,title,current_progress_status,gap_status,proposed_audit_type,proposed_terminal_status_strategy,n_reference_rows_target,source_location_policy,decision_source,evidence_basis,next_action,risk_note
S023,phase1,Pair A,Students’ acceptance and use of generative AI in pharmacy education: internation,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S196,phase1,Pair A,Acceptance of Educational Artificial Intelligence by Teachers and Its Relationsh,correlation_queue_lightweight_audit_pending,pre_adjudication_correlation_queue_not_frozen,correlation_queue_lightweight_resolution,excluded_or_status_only_after_explicit_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,S196 is ambiguous: progress says confirm resolution; gap map has excluded/status cues. Requires explicit audit decision.
S013,phase1,Pair B,Exploring factors that influence graduate students' intention to use generative,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S016,phase1,Pair B,Exploring the acceptance of generative artificial intelligence-assisted learning,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S047,phase1,Pair B,Bridging AI literacy and UTAUT constructs: structural equation modeling of AI ad,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S090,phase1,Pair B,Generative AI Use Among Saudi and Korean Language Learners in Higher Education:,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S105,phase1,Pair B,The Use of ChatGPT in Academic Writing by University Students in Jordan,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S109,phase1,Pair B,Acceptance of AI-Powered Chatbots Among Physiotherapy Students: International Cr,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S144,phase1,Pair B,Research Article A detailed examination of faculty acceptance of artificial inte,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
S198,phase1,Pair B,Examining Students' Acceptance and Use of ChatGPT in Saudi Arabian Higher Educat,metadata_only_or_no_correlation_gap_pending_lightweight_audit,not_frozen_lightweight_audit_pending,metadata_status_lightweight_audit,status_only_closure_after_audit,0_status_only_pending_audit,Use progress/gap-map evidence first; source PDF only if lightweight audit finds target-row/source-value ambiguity.,ralph_lightweight_audit_plan_pending_execution,data/04_extraction/04_reference_standard_freeze/full_corpus_step4_application_progress_20260608.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_freeze_gap_map_20260608.csv,Run lightweight status audit; emit status records and summary; do not start Step 5.,Do not collapse status-only closure into row-level inclusion; confirm no target-row adjudication is needed.
