study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S019,phase1,Pair A,572,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_fornell_larcker_table3_rows,3,R1,3 fornell_larcker_off_diagonal_latent_correlation,3 high,Use R1 source-located Table 3 Fornell-Larcker off-diagonal rows; R2 duplicates values but lacks source-location strings.,Non-selected coder row set(s) not drafted: R2,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S177,phase1,Pair A,283,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,3,R2,3 source_reported_direct_correlation_or_latent_correlation,3 high,Use R2 source-located Table 3 direct rows; R1 duplicates values as Fornell-Larcker rows.,Non-selected coder row set(s) not drafted: R1,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S211,phase1,Pair A,237,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_author_provided_model_coefficients,2,R2,2 author_provided_or_model_coefficient_trace,2 medium,Use R2 author-provided/model-coefficient trace rows for FC-UB and SI-UB; local PDF Table 5 supports ordinal-regression estimates but not a full correlation matrix.,No non-selected coder correlation row set available in combined coder trace.,author-provided/model-coefficient values; retain source-type caveat and final visual audit before full freeze,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S050,phase1,Pair B,500,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table5_direct_rows,15,R4,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S100,phase1,Pair B,682 / 40,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table6_direct_rows,3,R4,3 source_reported_direct_correlation_or_latent_correlation,3 high,Use R4 source-located Table 6 direct row set; R3 subset omits BI-UB.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S142,phase1,Pair B,368,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table3_direct_rows,3,R4,3 source_reported_direct_correlation_or_latent_correlation,3 high,Use R4 source-located Table 3 direct rows; R3 adds ANX rows with blank source-location strings that are not drafted in this low-burden source-checked layer.,Non-selected coder row set(s) not drafted: R3 ANX rows,R3 ANX/prejudice mapping remains a final-freeze audit caveat,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S167,phase1,Pair B,458,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_complete_direct_rows_with_final_visual_caveat,3,R3,3 source_reported_direct_correlation_or_latent_correlation,3 medium,Use R3 complete direct row set; R4 source-located row is a one-row subset. Final visual audit should confirm source table labels because selected rows lack source-location strings.,Non-selected coder row set(s) not drafted: R4,selected direct rows need final visual table-label audit because source-location strings are blank,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S184,phase1,Pair B,907,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table4_direct_rows,10,R4,10 source_reported_direct_correlation_or_latent_correlation,10 high,Use R4 source-located Table 4 direct row set; R3 duplicates values but lacks source-location strings for several rows.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S213,phase1,Pair B,473,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table5_direct_rows,3,R4,3 source_reported_direct_correlation_or_latent_correlation,3 high,Use R4 source-located Table 5 direct rows.,No non-selected coder correlation row set available in combined coder trace.,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S034,phase2,Pair C,148,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_complete_direct_heatmap_rows_with_final_visual_caveat,3,R4,3 source_reported_direct_correlation_or_latent_correlation,3 medium,Use R4 complete direct heatmap row set; R1 source-located subset omits EE-PE. Final visual audit should confirm Figure 2/heatmap table labels because selected rows lack source-location strings.,Non-selected coder row set(s) not drafted: R1,selected direct heatmap rows need final visual table-label audit because source-location strings are blank,Carry batch5 source-checked row draft into final full-corpus freeze audit; do not start Step 5.,full_corpus_residual_batch5_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
