file,pages,bytes,review_role,detected_caption_count_first12,detected_section_count_first12,manuscript_use,first_detected_captions
references/paper_a_apa7_evidence_review_20260615/pdfs/Cheung_2008_fixed_random_mixed_effects_SEM.pdf,21,259306,MASEM method,7,4,Use to justify fixed/random/mixed-effects SEM logic and to explain why heterogeneity and matrix structure govern claims.,"Table 1. || Table 1 || Figure 1 shows the graphical model. Using conventional To conduct the same meta-analysis in SEM, a model on || Figure 1. Structural equation model for a fixed-effects meta- pressed as || Figure 2. Structural equation model for a fixed-effects meta- Figure 3. Structural equation model for a random-effects meta-"
references/paper_a_apa7_evidence_review_20260615/pdfs/Cheung_2015_metaSEM_Frontiers.pdf,7,609848,MASEM implementation,5,2,"Use to describe metaSEM reproducibility, TSSEM workflow, and why code/materials should be archived.","FIGURE 1 | Univariate fixed-effects meta-analysis. FIGURE 2 | Univariate random-effects meta-analysis. || Figure 3 shows the graphical model of the mixed-effects meta- above equation. Since xi is a design matrix, missing value is not || FIGURE 3 | Univariate mixed-effects meta-analysis with one predictor. (17) || FIGURE 4 | Multivariate mixed-effects meta-analysis with two effect sizes per study and one predictor. || Figure 4 shows the graphical model of the multivariate mixed- μij (θ|xij ) = x"
references/paper_a_apa7_evidence_review_20260615/pdfs/Dwivedi_2019_reexamining_UTAUT.pdf,16,787946,UTAUT theory,10,2,Use to strengthen model-history narrative from TAM/UTAUT toward AI adoption and to define PE/EE/SI/FC roles.,"Table 1 Role of attitude in prior literature || Table 1 (continued) || Fig. 1 Proposed theoretical || Table 2 Definitions for || Table 3 for a distribution). For each observation, we coded nique allows the researchers to conduct a more precise and"
references/paper_a_apa7_evidence_review_20260615/pdfs/Hamkah_2025_engineering_students_AI_acceptance.pdf,35,679784,AI adoption empirical exemplar,7,7,"Use as recent AI acceptance reporting exemplar for construct tables, structural model visuals, and student-context framing.",Figure 1 || Table 1 || Table 2 || Figure 2 || Table 3
references/paper_a_apa7_evidence_review_20260615/pdfs/Jak_2015_MASEM_chapter.pdf,92,1576210,MASEM method,12,12,"Use to explain Stage 1/Stage 2 MASEM, path diagrams, and model fit reporting.","Figure 1.1 Hypothesized path model in which the effects of Positive and Negative || Table 1.1 Variances (on diagonal) and covariances of four research variables, N = || Table 1.2 Unstandardized parameter estimates, 95% confidence intervals and || Figure 1.2 A two-factor model on the five problem behavior variables. || Table 1.3 Variances (on diagonal) and covariances of five research variables"
references/paper_a_apa7_evidence_review_20260615/pdfs/Jak_Cheung_2020_MASEM_moderating_effects.pdf,27,2434649,MASEM moderation/method,12,4,Use to justify why moderation/future subgroup claims require sufficient matrix structure rather than speculation.,"Figure 1a to the pooled correlation matrix, they tested how well the Dalton, 2011). || Figure 1. Three models from applications of MASEM. In panel c: PI ⫽ pessimistic inferential style; DA ⫽ || Figure 1b to evaluate the hypothesized mediational effect of pa- each study is assumed to have its own population effect size. The || Table 1 || Figure 2. Conceptual representation of the TSSEM approach. The arrow pointing to the dashed box of the"
references/paper_a_apa7_evidence_review_20260615/pdfs/Labadze_2023_AI_chatbots_education_review.pdf,17,998812,AI education review exemplar,4,7,"Use to improve systematic-review narrative, categorization tables, and education-specific AI context.",Table 1 Systematic literature reviews on AI Chatbots in Education || Table 1 (continued) || Table 2 Inclusion exclusion criteria || Fig. 1 Flow diagram of selecting studies
references/paper_a_apa7_evidence_review_20260615/pdfs/Oc_2025_GenAI_higher_ed_risk_trust_UTAUT.pdf,19,633610,GenAI UTAUT/trust/risk exemplar,10,3,Use to strengthen trust/risk mechanism framing and show how UTAUT extensions are diagrammed.,"Table 1. Summary of Studies Examining Generative AI in Higher Education From a Student Adoption Perspective. || Figure 1. Conceptual Model. || Table 2. Sample Characteristics (N = 353). generative AI, while maintaining the core meaning and intent || Table 3. Descriptive Statistics for the Constructs, Correlations Among Constructs, and the Square Roots of the Average Variance Extracted. || Figure 2. Model Estimation Results by SmartPLS."
references/paper_a_apa7_evidence_review_20260615/pdfs/Zhang_2022_MASEM_primer.pdf,7,1359691,MASEM reporting exemplar,2,2,"Use to improve explanation of pooled correlation matrices, model diagrams, and fit tables.","Figure 1 Approaches to meta-analytic structural equation modeling. GLS, generalized least squares; TSSEM, two-stage structural equation || Figure 2 R-Fisher’s Z-R transformation"
references/paper_a_apa7_evidence_review_20260615/pdfs/metaSEM_CRAN_manual_2026.pdf,154,486087,software/reproducibility,0,12,"Use to document package version, functions, and reproducible TSSEM/MASEM script requirements.",
