run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06773,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6559 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6559,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06774,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-PE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6560 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6560,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06775,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6561 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6561,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06776,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6562 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6562,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06777,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6563 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6563,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06778,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6564 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6564,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06779,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6565 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6565,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06780,S004,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S004 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-EE | Human consensus value: source=direct; beta=0.582; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,Study: S004 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-EE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=6566 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=6566,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence notes value mismatch and Table 3 location but supplies no extractable numeric r value.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06781,S004,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S004 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-FC | Human consensus value: source=direct; beta=0.644; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,Study: S004 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-FC | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=6567 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=6567,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence notes value mismatch and Table 3 location but supplies no extractable numeric r value.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06782,S004,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S004 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-PE | Human consensus value: source=direct; beta=0.667; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,Study: S004 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=6568 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=6568,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence notes value mismatch and Table 3 location but supplies no extractable numeric r value.
paper2_claude_sonnet_full_allfamilies_6000_6249_retry2_20260606,anthropic,claude:sonnet,2.1.165 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:55:21Z,0,,P2-TASK-06783,S004,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S004 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=6569 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=6569,,0.95,False,,not_persisted_batch,locked,2026-06-06T13:55:21Z,claude_cli_noninteractive_batch,Source evidence blank; confirmed no reported statistic per consensus.
