run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04768,S107,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S107 | Task family: absence_or_blank_consensus | Field/construct pair: TRA-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S107 | Task family: absence_or_blank_consensus | Field/construct pair: TRA-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4554 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4554,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04769,S107,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S107 | Task family: absence_or_blank_consensus | Field/construct pair: TRU-UB | Human consensus value:  | Source/evidence note: R3-only statistic,Study: S107 | Task family: absence_or_blank_consensus | Field/construct pair: TRU-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4555 | Source evidence: R3-only statistic | Notes: R2 override applied from disagreement trace. blank_or_no_reported_statistic_consensus,,,source_sheet_row=4555,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence provided ('R3-only statistic') does not contain the actual value or a corroborating quote.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04770,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-ATT | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-ATT | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4556 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4556,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04771,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-AUT | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-AUT | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4557 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4557,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04772,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-BI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-BI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4558 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4558,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04773,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-EE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-EE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4559 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4559,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04774,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4560 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4560,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04775,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-PE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4561 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4561,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04776,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4562 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4562,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04777,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4563 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4563,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
paper2_gemini3flash_full_allfamilies_4000_4249_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:31:35Z,0,,P2-TASK-04778,S025,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S025 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4564 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4564,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:31:35Z,gemini_cli_noninteractive_batch,Source evidence field is empty in the task input.
