run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01760,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1546 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1546,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01761,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1547 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1547,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01762,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1548 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1548,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01763,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1549 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1549,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01765,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1551 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1551,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01767,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1553 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1553,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01769,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1555 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1555,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01771,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1557 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1557,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01772,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1558 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1558,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01773,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-PE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1559 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1559,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
paper2_gemini3flash_full_allfamilies_1500_1749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T01:49:39Z,0,,P2-TASK-01774,S163,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S163 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=1560 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=1560,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T01:49:39Z,gemini_cli_noninteractive_batch,Source evidence is empty in task input.
