full10_pair_order_label,study_id,missing_pair,batch_decision_class,candidate_value,candidate_value_metric,source_packet_file,source_locator,construct_mapping_issue,promote_to_supplemental_input,researcher_action,rationale_ko,original_triage_class,construct_1_human_supported,construct_2_human_supported,supported_constructs_in_human_reference,paper_b_boundary
08_BI-PE,S048,BI-PE,numeric_cell_candidate_pending_researcher_confirmation,0.659,source_reported_pearson_correlation_matrix,S048_source_packet_20260609.txt,S048_doc1 page 13 chunk 1; Table 2 descriptive statistics and correlations; INT x PE,,pending_researcher_confirmation,researcher_confirm_source_value_evidence_type_and_location,"Both constructs are human/frozen-supported and Table 2 reports a source-visible Pearson r cell. Keep as review evidence until researcher confirms value, evidence type, and source location.",source_review_priority_both_constructs_human_supported,yes,yes,ATT;BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
09_PE-UB,S016,PE-UB,excluded_one_construct_not_human_supported,,,S016_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SE,candidate_only_not_analytic_input_until_human_confirmed
09_PE-UB,S030,PE-UB,excluded_one_construct_not_human_supported,,,S030_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;FC;PE;SI;TRU,candidate_only_not_analytic_input_until_human_confirmed
09_PE-UB,S036,PE-UB,excluded_one_construct_not_human_supported,,,S036_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;BI;EE;PE;SE;SI;TRU,candidate_only_not_analytic_input_until_human_confirmed
09_PE-UB,S057,PE-UB,excluded_one_construct_not_human_supported,,,S057_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SE;SI,candidate_only_not_analytic_input_until_human_confirmed
09_PE-UB,S185,PE-UB,excluded_one_construct_not_human_supported,,,,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI,candidate_only_not_analytic_input_until_human_confirmed
09_PE-UB,S190,PE-UB,excluded_one_construct_not_human_supported,,,S190_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI,candidate_only_not_analytic_input_until_human_confirmed
11_EE-FC,S036,EE-FC,excluded_one_construct_not_human_supported,,,S036_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;BI;EE;PE;SE;SI;TRU,candidate_only_not_analytic_input_until_human_confirmed
11_EE-FC,S138,EE-FC,excluded_one_construct_not_human_supported,,,S138_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;PE;SE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S004,ATT-EE,excluded_one_construct_not_human_supported,,,S004_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S025,ATT-EE,excluded_one_construct_not_human_supported,,,S025_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S035,ATT-EE,excluded_one_construct_not_human_supported,,,S035_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S036,ATT-EE,excluded_one_construct_not_human_supported,,,S036_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,ANX;BI;EE;PE;SE;SI;TRU,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S051,ATT-EE,excluded_one_construct_not_human_supported,,,S051_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,ANX;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S086,ATT-EE,excluded_one_construct_not_human_supported,,,S086_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S088,ATT-EE,excluded_one_construct_not_human_supported,,,S088_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S121-1,ATT-EE,excluded_one_construct_not_human_supported,,,S121_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S121-2,ATT-EE,excluded_one_construct_not_human_supported,,,S121_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S157,ATT-EE,excluded_one_construct_not_human_supported,,,S157_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,AUT;BI;EE;FC;PE;SE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S173,ATT-EE,excluded_one_construct_not_human_supported,,,S173_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S191,ATT-EE,excluded_one_construct_not_human_supported,,,S191_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
12_ATT-EE,S223,ATT-EE,excluded_one_construct_not_human_supported,,,S223_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S004,EE-SE,excluded_researcher_rejected_PKC_to_SE_mapping,,,S004_source_packet_20260609.txt,,PKC/perceived knowledge of ChatGPT is not approved as full10 SE,no,no_action_researcher_mapping_rejected,"S004 source table uses PKC, not an approved full10 SE construct. Researcher previously rejected PKC mapping; do not promote SE-pair candidates.",source_review_priority_both_constructs_human_supported,yes,yes,BI;EE;FC;PE;SE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S030,EE-SE,excluded_one_construct_not_human_supported,,,S030_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;FC;PE;SI;TRU,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S055,EE-SE,excluded_one_construct_not_human_supported,,,S055_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S072,EE-SE,excluded_one_construct_not_human_supported,,,S072_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S088,EE-SE,excluded_one_construct_not_human_supported,,,S088_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S121-1,EE-SE,excluded_one_construct_not_human_supported,,,S121_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S121-2,EE-SE,excluded_one_construct_not_human_supported,,,S121_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S173,EE-SE,excluded_one_construct_not_human_supported,,,S173_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S176,EE-SE,excluded_one_construct_not_human_supported,,,S176_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S185,EE-SE,excluded_one_construct_not_human_supported,,,,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S190,EE-SE,excluded_one_construct_not_human_supported,,,S190_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S214,EE-SE,excluded_one_construct_not_human_supported,,,S214_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
13_EE-SE,S223,EE-SE,excluded_one_construct_not_human_supported,,,S223_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S016,EE-TRU,excluded_one_construct_not_human_supported,,,S016_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SE,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S025,EE-TRU,excluded_one_construct_not_human_supported,,,S025_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,BI;EE;FC;PE;SE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S051,EE-TRU,excluded_one_construct_not_human_supported,,,S051_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S055,EE-TRU,excluded_one_construct_not_human_supported,,,S055_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S057,EE-TRU,excluded_one_construct_not_human_supported,,,S057_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SE;SI,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S072,EE-TRU,excluded_one_construct_not_human_supported,,,S072_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S157,EE-TRU,excluded_one_construct_not_human_supported,,,S157_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,AUT;BI;EE;FC;PE;SE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S164,EE-TRU,excluded_one_construct_not_human_supported,,,S164_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ATT;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S185,EE-TRU,excluded_one_construct_not_human_supported,,,,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI,candidate_only_not_analytic_input_until_human_confirmed
14_EE-TRU,S190,EE-TRU,excluded_one_construct_not_human_supported,,,S190_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,yes,no,ANX;ATT;BI;EE;FC;PE;SI,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S004,ANX-EE,excluded_one_construct_not_human_supported,,,S004_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S030,ANX-EE,excluded_one_construct_not_human_supported,,,S030_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,ATT;BI;EE;FC;PE;SI;TRU,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S048,ANX-EE,excluded_one_construct_not_human_supported,,,S048_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,ATT;BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S055,ANX-EE,excluded_one_construct_not_human_supported,,,S055_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,ATT;BI;EE;FC;PE;SI;UB,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S086,ANX-EE,excluded_one_construct_not_human_supported,,,S086_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S088,ANX-EE,excluded_one_construct_not_human_supported,,,S088_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S121-1,ANX-EE,excluded_one_construct_not_human_supported,,,S121_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S121-2,ANX-EE,excluded_one_construct_not_human_supported,,,S121_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,BI;EE;FC;PE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
15_ANX-EE,S138,ANX-EE,excluded_one_construct_not_human_supported,,,S138_source_packet_20260609.txt,,,no,do_not_add_unless_reopened_by_source_evidence,Only one construct is human/frozen-supported for this study; do not add unless source adjudication reopens construct mapping.,likely_false_positive_one_construct_not_human_supported,no,yes,ATT;BI;EE;PE;SE;SI;TRU;UB,candidate_only_not_analytic_input_until_human_confirmed
