full10_pair_order,full10_pair_order_label,study_id,missing_pair,normalized_pair,construct_1,construct_2,present_full10_pairs,missing_full10_pairs,sample_size_values_seen,construct_1_terms_found,construct_2_terms_found,table_terms_found,source_packet_exists,source_packet_file,pdf_exists,pdf_text_status,pdf_path_local_only,human_source_value,human_evidence_type,human_source_location,human_decision,promote_to_supplemental_input,review_note
3,03_FC-PE,S036,FC-PE,FC-PE,FC,PE,21,24,480.0,FC;resources;support,PE;PU;perceived usefulness;useful;usefulness,correlations;fornell;larcker;latent;table,true,S036_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
3,03_FC-PE,S138,FC-PE,FC-PE,FC,PE,28,17,200.0,FC;resources;support,PE;PU;perceived usefulness;useful;usefulness,correlation;correlations;fornell;larcker;latent;table,true,S138_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S138.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S004,ATT-PE,ATT-PE,ATT,PE,21,24,485.0,attitude;attitudes,PE;perceived usefulness;performance expectancy;useful;usefulness,correlation;correlations;fornell;larcker;latent;matrix;table,true,S004_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S025,ATT-PE,ATT-PE,ATT,PE,21,24,361.0,attitude;attitudes,PE;perceived usefulness;performance expectancy;usefulness,correlation;correlations;fornell;inter-construct;larcker;latent;table,true,S025_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S025.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S035,ATT-PE,ATT-PE,ATT,PE,21,24,622.0,attitude;attitudes,PE;performance expectancy;useful;usefulness,correlation;correlations;fornell;larcker;latent;matrix;table,true,S035_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/R1/PDFs/S035.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S036,ATT-PE,ATT-PE,ATT,PE,21,24,480.0,attitude;attitude toward;attitudes,PE;PU;perceived usefulness;useful;usefulness,correlations;fornell;larcker;latent;table,true,S036_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S036.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S051,ATT-PE,ATT-PE,ATT,PE,21,24,524.0,attitudes,PE;perceived usefulness;performance expectancy;usefulness,correlations;latent;table,true,S051_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S051.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S086,ATT-PE,ATT-PE,ATT,PE,21,24,235.0,attitude;attitude toward;attitudes,PE;perceived usefulness;performance expectancy;useful;usefulness,correlation;correlations;latent;matrix;pearson;table,true,S086_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S086.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S088,ATT-PE,ATT-PE,ATT,PE,21,24,353.0,attitude;attitudes,PE;perceived usefulness;performance expectancy;useful;usefulness,correlations;fornell;larcker;latent;table,true,S088_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S088.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
4,04_ATT-PE,S121-1,ATT-PE,ATT-PE,ATT,PE,21,24,,attitudes,PE;perceived usefulness;performance expectancy;useful;usefulness,correlation;correlations;table,true,S121_source_packet_20260609.txt,true,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S121.pdf,,,,,no,open source/PDF table in full10 pair order; no value added until human enters source value
