ai_trace_status,candidate_status,recommended_human_action,review_priority,study_id,pair,construct_1,construct_2,human_coded_value_to_check,sample_size_numeric,source_file,source_location,source_location_terms_found,construct_1_terms_found,construct_2_terms_found,table_terms_found,base_study_id_used_for_source_text,source_packet_exists,source_packet_file,exact_value_found_in_source_packet_text,broad_value_found_in_source_packet_text,pdf_exists,pdf_matched_stem,pdf_text_status,exact_value_found_in_pdf_text,broad_value_found_in_pdf_text,pdf_path_local_only,paper_b_boundary
ai_trace_auto_value_visible_exact,ai_candidate_only_existing_human_value_under_review,human_confirm_source_table_before_any_use,p2_source_or_pdf_presence_gap,S222,BI-EE,BI,EE,0.46,50.0,latest_human_R1_CORRELATIONS,"Table 6, p.2028",Table 6,BI;behavioral intention;behavioural intention;continuance intention;intention to use,PEOU;ease of use;easy to use;effort expectancy;perceived ease of use,correlation;fornell;larcker;table,S222,false,,false,false,true,S222,ok,true,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S222.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_possible_value_visible_broad_match,ai_candidate_only_existing_human_value_under_review,human_check_broad_numeric_match_for_false_positive,p1_review_value_not_found_in_any_text,S222,BI-PE,BI,PE,0.58,50.0,latest_human_R1_CORRELATIONS,"Table 6, p.2028",Table 6,BI;behavioral intention;behavioural intention;continuance intention;intention to use,PE;PU;perceived usefulness;performance expectancy;useful;usefulness,correlation;fornell;larcker;table,S222,false,,false,false,true,S222,ok,false,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S222.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_possible_value_visible_broad_match,ai_candidate_only_existing_human_value_under_review,human_check_broad_numeric_match_for_false_positive,p1_review_value_not_found_in_any_text,S218,ATT-BI,ATT,BI,0.78,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",Table 1,attitude;attitude toward;attitudes,behavioral intention;behavioural intention;intention to use,correlation;matrix;table,S218,false,,false,false,true,S218,ok,false,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_possible_value_visible_broad_match,ai_candidate_only_existing_human_value_under_review,human_check_broad_numeric_match_for_false_positive,p1_review_value_not_found_in_any_text,S218,ATT-EE,ATT,EE,0.69,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",Table 1,attitude;attitude toward;attitudes,ease of use;easy to use;perceived ease of use,correlation;matrix;table,S218,false,,false,false,true,S218,ok,false,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_auto_value_visible_exact,ai_candidate_only_existing_human_value_under_review,human_confirm_source_table_before_any_use,p1_review_value_not_found_in_any_text,S218,ATT-PE,ATT,PE,0.7,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",Table 1,attitude;attitude toward;attitudes,perceived usefulness;useful;usefulness,correlation;matrix;table,S218,false,,false,false,true,S218,ok,true,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_auto_value_visible_exact,ai_candidate_only_existing_human_value_under_review,human_confirm_source_table_before_any_use,p2_source_or_pdf_presence_gap,S218,BI-EE,BI,EE,0.59,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",Table 1,behavioral intention;behavioural intention;intention to use,ease of use;easy to use;perceived ease of use,correlation;matrix;table,S218,false,,false,false,true,S218,ok,true,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_possible_value_visible_broad_match,ai_candidate_only_existing_human_value_under_review,human_check_broad_numeric_match_for_false_positive,p1_review_value_not_found_in_any_text,S218,BI-PE,BI,PE,0.63,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",Table 1,behavioral intention;behavioural intention;intention to use,perceived usefulness;useful;usefulness,correlation;matrix;table,S218,false,,false,false,true,S218,ok,false,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_auto_value_visible_exact,ai_candidate_only_existing_human_value_under_review,human_confirm_source_table_before_any_use,p2_source_or_pdf_presence_gap,S218,EE-PE,EE,PE,0.66,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",Table 1,ease of use;easy to use;perceived ease of use,perceived usefulness;useful;usefulness,correlation;matrix;table,S218,false,,false,false,true,S218,ok,true,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_auto_value_visible_exact,ai_candidate_only_existing_human_value_under_review,human_confirm_source_table_before_any_use,p2_source_or_pdf_presence_gap,S185,ANX-ATT,ANX,ATT,0.46,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",Table 3,anxiety;apprehension,ATT;attitude;attitude toward;attitudes,correlation;fornell;larcker;table,S185,false,,false,false,true,S185,ok,true,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,candidate_only_not_analytic_input_until_human_confirmed
ai_trace_auto_value_visible_exact,ai_candidate_only_existing_human_value_under_review,human_confirm_source_table_before_any_use,p2_source_or_pdf_presence_gap,S185,ANX-BI,ANX,BI,0.47,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",Table 3,anxiety;apprehension,BI;behavioral intention;intention to use;usage intention,correlation;fornell;larcker;table,S185,false,,false,false,true,S185,ok,true,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,candidate_only_not_analytic_input_until_human_confirmed
