task_unit_id,study_id,denominator_family,source_condition,field_key,construct_pair,expected_answer_type,available_model_count,available_models,model_coverage_status,answer_state_count,cross_model_behavior_disagreement,correct_models,incorrect_models,abstaining_models,primary_score_status,primary_is_correct,primary_answer_state,review_priority,triage_signals
P2-TASK-00001,S080,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-EE,BI-EE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00002,S080,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-FC,BI-FC,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00003,S080,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-PE,BI-PE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00004,S080,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-SI,BI-SI,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00005,S216,metadata_extraction,source_evidence_and_locator_present,Study design,Study design,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,claude:sonnet;gemini:gemini-3-flash-preview,codex:gpt-5.5,,scored,0,single wave cross sectional,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00006,S216,metadata_extraction,source_evidence_and_locator_present,Data collection,Data collection,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,claude:sonnet;gemini:gemini-3-flash-preview,codex:gpt-5.5,codex:gpt-5.5,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00007,S216,metadata_extraction,source_evidence_and_locator_present,Education level,Education level,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,bachelor master phd students,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00008,S216,metadata_extraction,source_evidence_and_locator_present,AI type,AI type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,3,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,ai based social robots,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00009,S216,metadata_extraction,source_evidence_and_locator_present,AI tool name,AI tool name,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,ai based robots for education,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00010,S216,metadata_extraction,source_evidence_and_locator_present,Construct count,Construct count,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,claude:sonnet;codex:gpt-5.5,gemini:gemini-3-flash-preview,,scored,1,6,P1_review_signal,cross_model_behavior_disagreement
P2-TASK-00011,S216,metadata_extraction,source_evidence_and_locator_present,Statistic count,Statistic count,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,claude:sonnet;codex:gpt-5.5,gemini:gemini-3-flash-preview,,scored,1,7,P1_review_signal,cross_model_behavior_disagreement
P2-TASK-00012,S216,metadata_extraction,source_evidence_and_locator_present,Matrix completeness,Matrix completeness,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00013,S216,metadata_extraction,source_evidence_and_locator_present,Common method bias,Common method bias,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,reported,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00014,S216,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,ANX-EE,ANX-EE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00015,S216,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-EE,BI-EE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00016,S216,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-PE,BI-PE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00017,S216,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,BI-SI,BI-SI,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00018,S216,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,EE-PE,EE-PE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00019,S216,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,EE-SE,EE-SE,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00020,S216,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,PE-SI,PE-SI,numeric_effect_size_with_source_type,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P0_expert_review_numeric_or_masem,all_available_models_abstained;high_consequence_numeric;primary_abstention;primary_incorrect;source_or_trace_risk
P2-TASK-00021,S088,metadata_extraction,source_evidence_and_locator_present,Source type,Source type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,journal,P3_low_priority_after_primary_check,
P2-TASK-00022,S088,metadata_extraction,source_evidence_and_locator_present,Study design,Study design,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,mixed method,P1_review_signal,primary_incorrect
P2-TASK-00023,S088,metadata_extraction,source_evidence_and_locator_present,Data collection,Data collection,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,survey interviews,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00024,S088,metadata_extraction,source_evidence_and_locator_present,Country,Country,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,online panel,P1_review_signal,cross_model_behavior_disagreement;primary_incorrect
P2-TASK-00025,S088,metadata_extraction,source_evidence_and_locator_present,Matrix completeness,Matrix completeness,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,2,1,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,cross_model_behavior_disagreement;primary_abstention;primary_incorrect
P2-TASK-00026,S088,metadata_extraction,source_evidence_and_locator_present,Flag,Flag,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,scored_abstention,0,abstain,P1_review_signal,all_available_models_abstained;primary_abstention;primary_incorrect
P2-TASK-00027,S192,metadata_extraction,source_evidence_and_locator_present,Source type,Source type,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,journal,P3_low_priority_after_primary_check,
P2-TASK-00028,S192,metadata_extraction,source_evidence_and_locator_present,Study design,Study design,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,,scored,1,cross sectional,P3_low_priority_after_primary_check,
P2-TASK-00029,S192,metadata_extraction,source_evidence_and_locator_present,AI tool name,AI tool name,metadata_field_value_or_blank,3,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,locked_model_row_available,1,0,,claude:sonnet;codex:gpt-5.5;gemini:gemini-3-flash-preview,,scored,0,chatgpt,P1_review_signal,primary_incorrect
