run_id,model_provider,model_id,task_unit_id,study_id,issue_class,abstained,model_raw_beta_value,model_converted_effect_value,conversion_method,reference_value,peterson_brown_implied_raw_beta_from_reference,raw_beta_matches_reference_value,raw_beta_matches_pb_implied_beta,converted_effect_matches_reference_value,contract_probe_status,contract_probe_note
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00093,S009,source_path_not_recovered_or_construct_mapping_alias_needed,False,0.263,0.313,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.263,0.213,1,0,0,source_directed_raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value; keep the reference-conversion caveat before full accuracy use.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00094,S009,path_direction_overlay_reversed_relative_to_source_direction,False,-0.021,-0.071,peterson_brown_2005_beta_plus_0.05_sign_lambda,-0.020,0.030,1,0,0,source_directed_raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value; keep the reference-conversion caveat before full accuracy use.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00095,S009,path_direction_overlay_reversed_relative_to_source_direction,False,0.090,0.140,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.085,0.035,1,0,0,source_directed_raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value; keep the reference-conversion caveat before full accuracy use.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00096,S009,path_direction_overlay_reversed_relative_to_source_direction,False,0.079,0.129,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.079,0.029,1,0,0,source_directed_raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value; keep the reference-conversion caveat before full accuracy use.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00097,S009,path_direction_overlay_reversed_relative_to_source_direction,False,0.081,0.131,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.081,0.031,1,0,0,source_directed_raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value; keep the reference-conversion caveat before full accuracy use.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00098,S009,reference_behaves_like_raw_beta_despite_beta_converted_label,False,0.61,0.66,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.610,0.560,1,0,0,raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value but the frozen source label remains a reference-contract caveat.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00099,S009,reference_behaves_like_raw_beta_despite_beta_converted_label,False,0.198,0.248,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.198,0.148,1,0,0,raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value but the frozen source label remains a reference-contract caveat.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00100,S009,directed_value_mismatch_not_resolved_by_prompt_alias,False,-0.045,-0.095,peterson_brown_2005_beta_plus_0.05_sign_lambda,-0.034,0.016,0,0,0,source_value_reference_qa_unresolved,Do not use this row as an accuracy gate without source/reference QA.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00101,S009,reference_behaves_like_raw_beta_despite_beta_converted_label,False,0.307,0.357,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.307,0.257,1,0,0,raw_recovered_reference_contract_caveat,Raw source beta matches the frozen value but the frozen source label remains a reference-contract caveat.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00102,S010,path_direction_overlay_reversed_and_source_path_not_recovered,True,,,,0.086,0.036,,,,scored_abstention,Abstention counts as unresolved for this diagnostic gate.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00103,S010,prompt_outputs_raw_beta_but_reference_scores_converted_value,True,,,,0.113,0.063,,,,scored_abstention,Abstention counts as unresolved for this diagnostic gate.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00104,S010,prompt_outputs_raw_beta_but_reference_scores_converted_value,False,0.379,0.429,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.429,0.379,0,1,1,contract_pass_raw_and_converted,Raw beta matches Peterson-Brown implied raw beta and converted effect matches frozen reference value.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00105,S010,prompt_outputs_raw_beta_but_reference_scores_converted_value,True,,,,0.121,0.071,,,,scored_abstention,Abstention counts as unresolved for this diagnostic gate.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00106,S010,prompt_outputs_raw_beta_but_reference_scores_converted_value,False,0.385,0.435,peterson_brown_2005_beta_plus_0.05_sign_lambda,0.435,0.385,0,1,1,contract_pass_raw_and_converted,Raw beta matches Peterson-Brown implied raw beta and converted effect matches frozen reference value.
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,FC-S5-TASK-00107,S010,source_table_ambiguity_or_ipma_not_path_coefficient,True,,,,0.067,0.017,,,,scored_abstention,Abstention counts as unresolved for this diagnostic gate.
