metric,label,row_n
review_priority,P0_expert_review_numeric_or_masem,1196
review_priority,P1_source_or_human_disagreement_review,649
expert_review_decision,exclude_duplicate_source_trace,75
expert_review_decision,retain_human_reference_model_absent_or_abstained,363
expert_review_decision,retain_human_reference_source_pointer_risk,375
expert_review_decision,retain_human_reference_trace_reviewed,80
expert_review_decision,retain_sensitivity_only_converted_input,458
expert_review_decision,trace_influence_only,1
expert_review_decision,trace_only_no_primary_substitution,493
rerun_input_role,excluded_or_blank_trace,75
rerun_input_role,primary_retained,363
rerun_input_role,primary_retained_source_risk,375
rerun_input_role,primary_retained_trace_risk,80
rerun_input_role,sensitivity_only,458
rerun_input_role,trace_only,494
substitution_eligibility,not_substitutable_excluded_duplicate_source,75
substitution_eligibility,not_substitutable_model_abstained_or_missing,363
substitution_eligibility,not_substitutable_primary_excluded,1
substitution_eligibility,not_substitutable_primary_source_type_sensitivity,458
substitution_eligibility,not_substitutable_trace_only,493
substitution_eligibility,not_substitutable_trace_or_human_disagreement,80
substitution_eligibility,not_substitutable_until_pdf_source_text_review,375
substitution_action,llm_exact_numeric_replacement,3
substitution_action,retain_human_reference_after_p0_p1_review,363
substitution_action,retain_human_reference_after_source_risk_review,358
substitution_action,retain_human_reference_after_trace_review,80
substitution_numeric_value_changed_rows,any_nonzero_delta,0
max_abs_delta_mean_r_unweighted,baseline_primary_human_vs_converted_sensitivity_augmented,0.116229
max_abs_delta_mean_r_unweighted,baseline_primary_human_vs_expert_reviewed_llm_assisted_primary,0.000000
max_abs_delta_mean_r_unweighted,baseline_primary_human_vs_source_risk_excluded_sensitivity,0.407000
