run_id,task_unit_id,study_id,denominator_family,expected_answer_type,expected_r_value,model_value,score_status,is_correct,score_rule,absolute_error,abstained,error_code,model_source_locator_nonblank,model_source_quote_nonblank
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00001,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.696,0.696,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00002,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.799,0.799,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00003,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.694,0.694,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00004,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.724,0.724,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00005,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.692,0.692,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00006,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.602,0.602,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00007,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.592,0.592,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00008,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.569,0.569,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00009,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.523,0.523,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,false
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00010,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.694,0.575,scored,0,numeric_abs_error_le_0.005,0.119000,False,,true,false
