run_id,model_provider,model_id,task_unit_id,study_id,denominator_family,scoring_eligibility,score_status,is_correct,score_rule,expected_value,model_value,absolute_error
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00016,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.271,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00017,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.496,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00018,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.414,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00019,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.241,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00020,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.448,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00021,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.565,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00022,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.609,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00023,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.644,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00024,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.726,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00025,S003,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.73,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00001,S002,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.696,,
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,FC-S5-TASK-00002,S002,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,0.799,,
