study_id,present_full10_pairs,missing_full10_pairs,has_complete_full10_matrix,sample_size_values_seen,missing_pairs
S057,28,17,false,582.0,ANX-TRU;ANX-UB;ATT-TRU;ATT-UB;BI-TRU;BI-UB;EE-TRU;EE-UB;FC-TRU;FC-UB;PE-TRU;PE-UB;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S138,28,17,false,200.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-FC;BI-FC;EE-FC;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB
S176,28,17,false,1214.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S072,26,19,false,500.0,ANX-ATT;ANX-SE;ANX-TRU;ATT-SE;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S004,21,24,false,485.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S016,21,24,false,382.0,ANX-SI;ANX-TRU;ANX-UB;ATT-SI;ATT-TRU;ATT-UB;BI-SI;BI-TRU;BI-UB;EE-SI;EE-TRU;EE-UB;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S025,21,24,false,361.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-TRU;EE-TRU;FC-TRU;PE-TRU;SE-TRU;SI-TRU;TRU-UB
S030,21,24,false,226.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-UB;BI-SE;BI-UB;EE-SE;EE-UB;FC-SE;FC-UB;PE-SE;PE-UB;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S035,21,24,false,622.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S036,21,24,false,480.0,ANX-ATT;ANX-FC;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-FC;BI-UB;EE-FC;EE-UB;FC-PE;FC-SE;FC-SI;FC-TRU;FC-UB;PE-UB;SE-UB;SI-UB;TRU-UB
S048,21,24,false,355.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;BI-FC;BI-PE;BI-SE;BI-SI;EE-SE;EE-UB;FC-SE;FC-UB;PE-SE;SE-SI;SE-TRU;SE-UB;SI-UB;TRU-UB
S051,21,24,false,524.0,ANX-ATT;ANX-SE;ANX-TRU;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S055,21,24,false,486.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S086,21,24,false,235.0,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
