study_id,record_id,title,year,doi,phase,pair_a_coders,pair_b_coders,single_coder
S001,REC_00715,Effects and acceptance of precision education in an AI-supported smart learning environment,2022,10.1007/s10639-021-10664-3,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S002,REC_00718,Understanding key drivers affecting students' use of artificial intelligence-based voice assistants,2022,10.1007/s10639-022-10947-3,Phase 2: Single,,,R4
S003,REC_00720,"Adoption, use and enhancement of virtual learning during COVID-19",2022,10.1007/s10639-022-10985-x,Phase 1: Pair B,,"R3, R4",
S004,REC_14042,AI-Based Chatbots Adoption Model for Higher-Education Institutions: A Hybrid PLS-SEM-Neural Network Modelling Approach,2022,10.3390/su141912726,Phase 2: Single,,,R4
S005,REC_02174,Exploring the role of intrinsic motivation in ChatGPT adoption to support active learning: An extension of the technology acceptance model,2023,10.1016/j.caeai.2023.100178,Phase 1: Pair A,"R1, R2",,
S006,REC_02175,ChatGPT in higher education learning: Acceptance and use,2023,10.1016/j.caeai.2023.100190,Phase 2: Single,,,R1
S007,REC_06594,The impact of technology readiness and use perceptions on students’ adoption of artificial intelligence: the moderating role of gender,2023,10.1108/DLO-07-2022-0133,Phase 1: Pair B,,"R3, R4",
S008,REC_07574,Understanding the Factors Influencing Higher Education Students' Intention to Adopt Artificial Intelligence-Based Robots,2023,10.1109/ACCESS.2023.3314499,Phase 2: Single,,,R3
S009,REC_10820,Examining students' intention to use ChatGPT: Does trust matter?,2023,10.14742/ajet.8956,Phase 1: Pair A,"R1, R2",,
S010,REC_13258,To use or not to use? Understanding doctoral students' acceptance of ChatGPT in writing through technology acceptance model,2023,10.3389/fpsyg.2023.1259531,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S011,REC_13681,Modeling Students' Perceptions of Chatbots in Learning: Integrating Technology Acceptance with the Value-Based Adoption Model,2023,10.3390/educsci13111151,Phase 1: Pair B,,"R3, R4",
S012,REC_14052,"Determinants of Intentions to Use Digital Mental Healthcare Content among University Students, Faculty, and Staff: Motivation, Perceived Usefulness, Perceived Ease of Use, and Parasocial Interaction with AI Chatbot",2023,10.3390/su15010872,Phase 1: Pair A,"R1, R2",,
