route,parameter,estimate,parameter_family
paper_a_trust6_mechanism,PE_to_TRU,0.2606462777659957,structural_path
paper_a_trust6_mechanism,PE_to_BI,0.3654092689274414,structural_path
paper_a_trust6_mechanism,EE_to_TRU,0.14008953840158825,structural_path
paper_a_trust6_mechanism,EE_to_BI,0.22482333165461557,structural_path
paper_a_trust6_mechanism,SI_to_TRU,0.10679507818466238,structural_path
paper_a_trust6_mechanism,SI_to_BI,0.18383961114612085,structural_path
paper_a_trust6_mechanism,TRU_to_BI,0.24307710266811342,structural_path
paper_a_trust6_mechanism,BI_to_UB,0.7143609117112392,structural_path
paper_a_trust6_mechanism,Cov_PE_EE,0.5623640181383469,exogenous_covariance
paper_a_trust6_mechanism,Cov_PE_SI,0.5992486939096979,exogenous_covariance
paper_a_trust6_mechanism,Cov_EE_SI,0.4212898439339748,exogenous_covariance
paper_a_trust6_mechanism,Var_e_TRU,0.8139983479054255,residual_variance
paper_a_trust6_mechanism,Var_e_BI,0.37861624906048175,residual_variance
paper_a_trust6_mechanism,Var_e_UB,0.48968848781908725,residual_variance
