scenario,fit_index,value
baseline_primary_human,chisq,3.5541810724207723
baseline_primary_human,df,4
baseline_primary_human,p,0.46968795690377996
baseline_primary_human,CFI,1
baseline_primary_human,TLI,1.0010503617227327
baseline_primary_human,RMSEA,0
baseline_primary_human,RMSEA_lower,0
baseline_primary_human,RMSEA_upper,0.011767970099763915
baseline_primary_human,SRMR,0.02519929996946223
baseline_primary_human,AIC,-4.445818927579228
baseline_primary_human,BIC,-34.8653362873824
expert_reviewed_llm_assisted_primary,chisq,3.5541810724207723
expert_reviewed_llm_assisted_primary,df,4
expert_reviewed_llm_assisted_primary,p,0.46968795690377996
expert_reviewed_llm_assisted_primary,CFI,1
expert_reviewed_llm_assisted_primary,TLI,1.0010503617227327
expert_reviewed_llm_assisted_primary,RMSEA,0
expert_reviewed_llm_assisted_primary,RMSEA_lower,0
expert_reviewed_llm_assisted_primary,RMSEA_upper,0.011767970099763915
expert_reviewed_llm_assisted_primary,SRMR,0.02519929996946223
expert_reviewed_llm_assisted_primary,AIC,-4.445818927579228
expert_reviewed_llm_assisted_primary,BIC,-34.8653362873824
